,locus_tag,protein_id,gene,start,end,strand,pseudo,product,db_xref,EC_number,old_locus_tag,inference,dup_id
CDS_CP060011.1_296745_297836_pos,H5029_01340,QPN99989.1,,296745,297836,pos,,IS4 family transposase ISAba1,,,,COORDINATES: similar to AA sequence:RefSeq:WP_076612069.1,dup_22
CDS_CP060011.1_2520156_2520594_pos,H5029_11765,QPN98571.1,,2520156,2520594,pos,,DUF2147 domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004994826.1,dup_56
CDS_CP060011.1_821792_822503_pos,H5029_03985,QPO00454.1,,821792,822503,pos,,succinate dehydrogenase iron-sulfur subunit,,,,COORDINATES: similar to AA sequence:RefSeq:WP_016651020.1,dup_38
CDS_CP060011.1_2685895_2686285_neg,H5029_12555,QPN98713.1,,2685895,2686285,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004994759.1,dup_60
CDS_CP060011.1_2877892_2879278_pos,H5029_13540,QPN98895.1,,2877892,2879278,pos,,MFS transporter,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004994454.1,dup_15
CDS_CP060011.1_1388198_1389014_pos,H5029_06465,QPO00894.1,,1388198,1389014,pos,,aminoglycoside O-phosphotransferase APH(3')-Ia,,,,COORDINATES: similar to AA sequence:RefSeq:WP_032492145.1,dup_34
CDS_CP060011.1_2587041_2588607_pos,H5029_12105,QPN98633.1,ahpF,2587041,2588607,pos,,alkyl hydroperoxide reductase subunit F,,1.8.1.-,,COORDINATES: similar to AA sequence:RefSeq:WP_000886779.1,dup_10
CDS_CP060011.1_129925_130951_pos,H5029_00590,QPN99850.1,,129925,130951,pos,,IS30 family transposase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_079376506.1,dup_24
CDS_CP060011.1_3117520_3118804_pos,H5029_14790,QPN99124.1,,3117520,3118804,pos,,ribonucleotide-diphosphate reductase subunit beta,,1.17.4.1,,COORDINATES: similar to AA sequence:RefSeq:WP_020752838.1,dup_16
CDS_CP060011.1_1389126_1389831_pos,H5029_06470,QPO00895.1,,1389126,1389831,pos,,IS6-like element IS26 family transposase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005221000.1,dup_39
CDS_CP060011.1_1723972_1724644_pos,H5029_08060,QPO01183.1,,1723972,1724644,pos,,3-oxoacid CoA-transferase subunit A,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004995594.1,dup_44
CDS_CP060011.1_2908401_2908791_neg,H5029_13695,QPN98923.1,,2908401,2908791,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004994759.1,dup_60
CDS_CP060011.1_1104462_1105425_pos,H5029_05175,QPO00667.1,sohB,1104462,1105425,pos,,protease SohB,,3.4.21.-,,COORDINATES: similar to AA sequence:RefSeq:WP_004798585.1,dup_25
CDS_CP060011.1_2481475_2482015_neg,H5029_11610,QPN98548.1,,2481475,2482015,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000821713.1,dup_51
CDS_CP060011.1_737425_738516_pos,H5029_03580,QPO00378.1,,737425,738516,pos,,IS4 family transposase ISAba1,,,,COORDINATES: similar to AA sequence:RefSeq:WP_076612069.1,dup_22
CDS_CP060011.1_2773494_2774585_pos,H5029_13085,QPN98812.1,,2773494,2774585,pos,,IS4 family transposase ISAba1,,,,COORDINATES: similar to AA sequence:RefSeq:WP_076612069.1,dup_22
CDS_CP060011.1_2638374_2639079_pos,H5029_12335,QPN98676.1,,2638374,2639079,pos,,IS6-like element IS26 family transposase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005221000.1,dup_39
CDS_CP060011.1_1529960_1531051_pos,H5029_07120,QPO01010.1,,1529960,1531051,pos,,IS4 family transposase ISAba1,,,,COORDINATES: similar to AA sequence:RefSeq:WP_076612069.1,dup_22
CDS_CP060011.1_570039_571130_pos,H5029_02775,QPO00241.1,,570039,571130,pos,,IS4 family transposase ISAba1,,,,COORDINATES: similar to AA sequence:RefSeq:WP_076612069.1,dup_22
CDS_CP060011.1_1539720_1540811_neg,H5029_07165,QPO01017.1,,1539720,1540811,neg,,IS4 family transposase ISAba1,,,,COORDINATES: similar to AA sequence:RefSeq:WP_076612069.1,dup_22
CDS_CP060011.1_3748046_3749477_neg,H5029_17705,QPN99645.1,,3748046,3749477,neg,,amino acid permease,,,,COORDINATES: similar to AA sequence:RefSeq:WP_016654442.1,dup_68
CDS_CP060011.1_815763_816856_pos,H5029_03960,QPO00449.1,,815763,816856,pos,,IS4 family transposase ISAba1,,,,COORDINATES: similar to AA sequence:RefSeq:WP_076612069.1,dup_22
CDS_CP060011.1_1407222_1407927_pos,H5029_06575,QPO00910.1,,1407222,1407927,pos,,IS6-like element IS26 family transposase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005221000.1,dup_39
CDS_CP060011.1_3230761_3231852_neg,H5029_15285,QPN99199.1,,3230761,3231852,neg,,IS4 family transposase ISAba1,,,,COORDINATES: similar to AA sequence:RefSeq:WP_076612069.1,dup_22
CDS_CP060011.1_3199172_3200263_pos,H5029_15140,QPN99182.1,,3199172,3200263,pos,,IS4 family transposase ISAba1,,,,COORDINATES: similar to AA sequence:RefSeq:WP_076612069.1,dup_22
CDS_CP060011.1_383726_385832_neg,H5029_01780,QPO00064.1,,383726,385832,neg,,"bifunctional (p)ppGpp synthetase/guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase",,,,COORDINATES: similar to AA sequence:RefSeq:YP_004996908.1,dup_5
CDS_CP060011.1_2501672_2502584_neg,H5029_11700,QPN98561.1,,2501672,2502584,neg,,LysR family transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004994865.1,dup_28
CDS_CP060011.1_2444605_2445696_pos,H5029_11440,QPN98516.1,,2444605,2445696,pos,,IS4 family transposase ISAba1,,,,COORDINATES: similar to AA sequence:RefSeq:WP_076612069.1,dup_22
CDS_CP060011.1_377627_378188_pos,H5029_01745,QPO00059.1,,377627,378188,pos,,TPM domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004996916.1,dup_49
CDS_CP060011.1_567557_568379_pos,H5029_02755,QPO00239.1,,567557,568379,pos,,carbapenem-hydrolyzing class D beta-lactamase OXA-23,,,,COORDINATES: similar to AA sequence:RefSeq:WP_001046004.1,dup_33
CDS_CP060011.1_3841944_3842811_neg,H5029_18145,QPN99721.1,,3841944,3842811,neg,,MBL fold metallo-hydrolase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004996668.1,dup_32
CDS_CP060011.1_2504162_2509070_neg,H5029_11715,QPN98563.1,,2504162,2509070,neg,,RHS domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000015584.1,dup_3
CDS_CP060011.1_1978575_1979666_pos,H5029_09195,QPN98096.1,,1978575,1979666,pos,,IS4 family transposase ISAba1,,,,COORDINATES: similar to AA sequence:RefSeq:WP_076612069.1,dup_22
CDS_CP060011.1_108914_110005_pos,H5029_00490,QPN99835.1,,108914,110005,pos,,IS4 family transposase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_076612069.1,dup_22
CDS_CP060011.1_1661613_1662078_neg,H5029_07755,QPO01126.1,,1661613,1662078,neg,,MarR family transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004995696.1,dup_55
CDS_CP060011.1_127571_129527_neg,H5029_00580,QPN99849.1,,127571,129527,neg,,MBL fold metallo-hydrolase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004724726.1,dup_6
CDS_CP060011.1_2490361_2490922_neg,H5029_11650,QPN98555.1,,2490361,2490922,neg,,TetR/AcrR family transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:WP_001133100.1,dup_52
CDS_CP060011.1_2685308_2685854_neg,H5029_12550,QPN98712.1,,2685308,2685854,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_001019727.1,dup_54
CDS_CP060011.1_3296011_3296875_neg,H5029_15595,QPN99258.1,,3296011,3296875,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997726.1,dup_37
CDS_CP060011.1_919798_920377_pos,H5029_04315,QPO00506.1,,919798,920377,pos,,TetR/AcrR family transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:WP_001133224.1,dup_71
CDS_CP060011.1_2934593_2934998_neg,H5029_13850,QPN98953.1,,2934593,2934998,neg,,DUF559 domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000100176.1,dup_58
CDS_CP060011.1_130941_131730_neg,H5029_00595,QPN99851.1,,130941,131730,neg,,AAA family ATPase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004694823.1,dup_36
CDS_CP060011.1_1369828_1371316_neg,H5029_06380,QPO00879.1,proP,1369828,1371316,neg,,glycine betaine/L-proline transporter ProP,,,,COORDINATES: similar to AA sequence:RefSeq:WP_005138579.1,dup_12
CDS_CP060011.1_1770787_1771459_neg,H5029_08275,QPO01222.1,,1770787,1771459,neg,,3-oxoacid CoA-transferase subunit A,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004995594.1,dup_44
CDS_CP060011.1_2680745_2682392_neg,H5029_12540,QPN98710.1,,2680745,2682392,neg,,phosphoethanolamine--lipid A transferase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_005135555.1,dup_70
CDS_CP060011.1_112336_113362_pos,H5029_00505,QPN99837.1,,112336,113362,pos,,IS30-like element ISAba125 family transposase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_079376506.1,dup_24
CDS_CP060011.1_1781081_1782656_pos,H5029_08325,QPO01231.1,,1781081,1782656,pos,,aldehyde dehydrogenase (NADP(+)),,,,COORDINATES: similar to AA sequence:RefSeq:YP_004995584.1,dup_67
CDS_CP060011.1_1001898_1002989_neg,H5029_04700,QPO00580.1,,1001898,1002989,neg,,IS4 family transposase ISAba1,,,,COORDINATES: similar to AA sequence:RefSeq:WP_076612069.1,dup_22
CDS_CP060011.1_2721507_2721780_neg,H5029_12805,QPO01492.1,,2721507,2721780,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_002156401.1,dup_66
CDS_CP060011.1_1746867_1748124_neg,H5029_08175,QPO01205.1,,1746867,1748124,neg,,"outer membrane porin, OprD family",,,,COORDINATES: similar to AA sequence:RefSeq:YP_004995615.1,dup_2
CDS_CP060011.1_1387240_1387945_pos,H5029_06455,QPO00893.1,,1387240,1387945,pos,,IS6-like element IS26 family transposase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005221000.1,dup_39
CDS_CP060011.1_1169744_1170308_pos,H5029_05450,QPO00718.1,,1169744,1170308,pos,,TetR/AcrR family transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:WP_005123227.1,dup_71
CDS_CP060011.1_1543873_1544964_pos,H5029_07195,QPO01023.1,,1543873,1544964,pos,,IS4 family transposase ISAba1,,,,COORDINATES: similar to AA sequence:RefSeq:WP_076612069.1,dup_22
CDS_CP060011.1_3548724_3550644_neg,H5029_16755,QPN99475.1,htpG,3548724,3550644,neg,,molecular chaperone HtpG,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997470.1,dup_8
CDS_CP060011.1_1973039_1974130_pos,H5029_09170,QPN98091.1,,1973039,1974130,pos,,IS4 family transposase ISAba1,,,,COORDINATES: similar to AA sequence:RefSeq:WP_076612069.1,dup_22
CDS_CP060011.1_3305299_3306390_pos,H5029_15630,QPN99265.1,,3305299,3306390,pos,,IS4 family transposase ISAba1,,,,COORDINATES: similar to AA sequence:RefSeq:WP_076612069.1,dup_22
CDS_CP060011.1_1968669_1969920_neg,H5029_09155,QPN98089.1,,1968669,1969920,neg,,dienelactone hydrolase family protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004995378.1,dup_18
CDS_CP060011.1_2991080_2992271_neg,H5029_14170,QPN99012.1,tuf,2991080,2992271,neg,,elongation factor Tu,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004994400.1,dup_19
CDS_CP060011.1_2261065_2262631_neg,H5029_10560,QPN98349.1,ahpF,2261065,2262631,neg,,alkyl hydroperoxide reductase subunit F,,1.8.1.-,,COORDINATES: similar to AA sequence:RefSeq:WP_000886779.1,dup_10
CDS_CP060011.1_2498456_2499263_neg,H5029_11685,QPN98559.1,,2498456,2499263,neg,,putative hydro-lyase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000276193.1,dup_35
CDS_CP060011.1_1929196_1930287_neg,H5029_08970,QPO01352.1,,1929196,1930287,neg,,IS4 family transposase ISAba1,,,,COORDINATES: similar to AA sequence:RefSeq:WP_076612069.1,dup_22
CDS_CP060011.1_1394737_1396279_pos,H5029_06505,QPO00900.1,,1394737,1396279,pos,,IS91 family transposase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000050481.1,dup_9
CDS_CP060011.1_2728909_2729161_pos,H5029_12875,QPN98774.1,,2728909,2729161,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000654842.1,dup_72
CDS_CP060011.1_3568690_3569881_neg,H5029_16840,QPN99490.1,tuf,3568690,3569881,neg,,elongation factor Tu,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004994400.1,dup_19
CDS_CP060011.1_3143553_3146478_pos,H5029_14885,QPN99141.1,,3143553,3146478,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000470107.1,dup_4
CDS_CP060011.1_772034_773684_pos,H5029_03750,QPO00409.1,,772034,773684,pos,,phosphoethanolamine--lipid A transferase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004996472.1,dup_70
CDS_CP060011.1_688242_689333_pos,H5029_03335,QPO00340.1,,688242,689333,pos,,IS4 family transposase ISAba1,,,,COORDINATES: similar to AA sequence:RefSeq:WP_076612069.1,dup_22
CDS_CP060011.1_1528660_1529347_pos,H5029_07110,QPO01009.1,,1528660,1529347,pos,,glutathione S-transferase family protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004995840.1,dup_43
CDS_CP060011.1_1854949_1856527_neg,H5029_08620,QPO01287.1,,1854949,1856527,neg,,aldehyde dehydrogenase (NADP(+)),,,,COORDINATES: similar to AA sequence:RefSeq:WP_004747107.1,dup_67
CDS_CP060011.1_295513_296071_pos,H5029_01330,QPN99988.1,,295513,296071,pos,,NAD(P)H-dependent oxidoreductase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004996990.1,dup_50
CDS_CP060011.1_2893460_2894903_neg,H5029_13600,QPN98905.1,,2893460,2894903,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004803323.1,dup_13
CDS_CP060011.1_1535034_1535589_pos,H5029_07150,QPO01014.1,,1535034,1535589,pos,,TetR/AcrR family transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:WP_001133101.1,dup_52
CDS_CP060011.1_3450476_3450809_pos,H5029_16295,QPN99391.1,,3450476,3450809,pos,,HopJ type III effector protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997567.1,dup_61
CDS_CP060011.1_2930611_2931253_neg,H5029_13820,QPN98947.1,,2930611,2931253,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004738628.1,dup_48
CDS_CP060011.1_1593082_1594411_neg,H5029_07415,QPO01063.1,,1593082,1594411,neg,,Y-family DNA polymerase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_005131489.1,dup_14
CDS_CP060011.1_1146578_1147669_neg,H5029_05355,QPO00700.1,,1146578,1147669,neg,,IS4 family transposase ISAba1,,,,COORDINATES: similar to AA sequence:RefSeq:WP_076612069.1,dup_22
CDS_CP060011.1_656519_657161_neg,H5029_03185,QPO00313.1,,656519,657161,neg,,hemolysin III family protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004996588.1,dup_47
CDS_CP060011.1_2632735_2633551_pos,H5029_12310,QPN98672.1,,2632735,2633551,pos,,aminoglycoside O-phosphotransferase APH(3')-Ia,,,,COORDINATES: similar to AA sequence:RefSeq:WP_032492145.1,dup_34
CDS_CP060011.1_2278247_2279338_neg,H5029_10650,QPN98367.1,,2278247,2279338,neg,,IS4 family transposase ISAba1,,,,COORDINATES: similar to AA sequence:RefSeq:WP_076612069.1,dup_22
CDS_CP060011.1_2640761_2641466_neg,H5029_12350,QPN98678.1,,2640761,2641466,neg,,IS6-like element IS26 family transposase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005221000.1,dup_39
CDS_CP060011.1_1725328_1726540_pos,H5029_08070,QPO01185.1,pcaF,1725328,1726540,pos,,3-oxoadipyl-CoA thiolase,,2.3.1.174,,COORDINATES: similar to AA sequence:RefSeq:YP_004995637.1,dup_69
CDS_CP060011.1_1383300_1384005_neg,H5029_06435,QPO00889.1,,1383300,1384005,neg,,IS6-like element IS26 family transposase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005221000.1,dup_39
CDS_CP060011.1_3749847_3751287_neg,H5029_17710,QPN99646.1,,3749847,3751287,neg,,amino acid permease,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997293.1,dup_68
CDS_CP060011.1_2633975_2634680_neg,H5029_12320,QPN98674.1,,2633975,2634680,neg,,IS6-like element IS26 family transposase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005221000.1,dup_39
CDS_CP060011.1_2749174_2749867_pos,H5029_12955,QPN98790.1,nth,2749174,2749867,pos,,endonuclease III,,,,COORDINATES: similar to AA sequence:RefSeq:WP_017816086.1,dup_41
CDS_CP060011.1_3227236_3228154_pos,H5029_15275,QPN99198.1,,3227236,3228154,pos,,mechanosensitive ion channel family protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997789.1,dup_29
CDS_CP060011.1_1207383_1208474_pos,H5029_05600,QPO00742.1,,1207383,1208474,pos,,IS4 family transposase ISAba1,,,,COORDINATES: similar to AA sequence:RefSeq:WP_076612069.1,dup_22
CDS_CP060011.1_239878_240292_pos,H5029_01080,QPN99942.1,,239878,240292,pos,,winged helix-turn-helix transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997041.1,dup_57
CDS_CP060011.1_2631901_2632606_neg,H5029_12305,QPN98671.1,,2631901,2632606,neg,,IS6-like element IS26 family transposase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005221000.1,dup_39
CDS_CP060011.1_2942208_2942454_pos,H5029_13925,QPN98968.1,,2942208,2942454,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000654841.1,dup_72
CDS_CP060011.1_1402280_1403165_pos,H5029_06540,QPO00905.1,mph(E),1402280,1403165,pos,,Mph(E) family macrolide 2'-phosphotransferase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_014325835.1,dup_30
CDS_CP060011.1_2939562_2939853_pos,H5029_13905,QPN98964.1,,2939562,2939853,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000656405.1,dup_64
CDS_CP060011.1_1770115_1770769_neg,H5029_08270,QPO01221.1,,1770115,1770769,neg,,CoA transferase subunit B,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004995595.1,dup_45
CDS_CP060011.1_126188_127214_pos,H5029_00575,QPN99848.1,,126188,127214,pos,,IS30 family transposase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_079376506.1,dup_24
CDS_CP060011.1_116333_116663_neg,H5029_00530,QPN99842.1,,116333,116663,neg,,divalent-cation tolerance protein CutA,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004201171.1,dup_63
CDS_CP060011.1_2712421_2713063_neg,H5029_12725,QPN98746.1,,2712421,2713063,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004834292.1,dup_48
CDS_CP060011.1_565246_565726_neg,H5029_02740,QPO00237.1,,565246,565726,neg,,OmpA family protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004996716.1,dup_53
CDS_CP060011.1_1724662_1725316_pos,H5029_08065,QPO01184.1,,1724662,1725316,pos,,CoA transferase subunit B,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004995595.1,dup_45
CDS_CP060011.1_124076_125348_neg,H5029_00565,QPN99847.1,,124076,125348,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_005265690.1,dup_17
CDS_CP060011.1_1170742_1171429_neg,H5029_05460,QPO00719.1,,1170742,1171429,neg,,pirin family protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004996148.1,dup_42
CDS_CP060011.1_2726239_2726530_pos,H5029_12855,QPN98770.1,,2726239,2726530,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000656405.1,dup_64
CDS_CP060011.1_107318_108248_neg,H5029_00480,QPN99834.1,,107318,108248,neg,,IS5 family transposase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_001091151.1,dup_27
CDS_CP060011.1_2726522_2726846_pos,H5029_12860,QPN98771.1,,2726522,2726846,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000073850.1,dup_62
CDS_CP060011.1_2939845_2940169_pos,H5029_13910,QPN98965.1,,2939845,2940169,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000073850.1,dup_62
CDS_CP060011.1_2409847_2410450_neg,H5029_11275,QPN98483.1,,2409847,2410450,neg,,TetR/AcrR family transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:WP_005124300.1,dup_71
CDS_CP060011.1_3771607_3772318_neg,H5029_17815,QPN99665.1,,3771607,3772318,neg,,GntR family transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997265.1,dup_40
CDS_CP060011.1_2169431_2170522_neg,H5029_10125,QPN98269.1,,2169431,2170522,neg,,IS4 family transposase ISAba1,,,,COORDINATES: similar to AA sequence:RefSeq:WP_076612069.1,dup_22
CDS_CP060011.1_3201879_3203040_neg,H5029_15150,QPO01521.1,,3201879,3203040,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000114390.1,dup_20
CDS_CP060011.1_1587545_1588409_pos,H5029_07385,QPO01058.1,,1587545,1588409,pos,,iron-containing redox enzyme family protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997726.1,dup_37
CDS_CP060011.1_1405819_1406104_neg,H5029_06560,QPO00908.1,,1405819,1406104,neg,,IS66 family insertion sequence hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_008949250.1,dup_65
CDS_CP060011.1_886395_887421_neg,H5029_04220,QPO00490.1,,886395,887421,neg,,IS30 family transposase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_079376506.1,dup_24
CDS_CP060011.1_2578127_2579390_pos,H5029_12070,QPN98626.1,,2578127,2579390,pos,,"outer membrane porin, OprD family",,,,COORDINATES: similar to AA sequence:RefSeq:YP_004995615.1,dup_2
