,rec_id,locus_tag,protein_id,gene,start,end,strand,pseudo,product,db_xref,EC_number,old_locus_tag,inference,dup_id
CDS_CP065831.1_744478_744853_pos,CP065831.1,I8N76_03800,QPV98158.1,,744478,744853,pos,,phage tail protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804747.1,114
CDS_CP065831.1_2934656_2936303_neg,CP065831.1,I8N76_14610,QPV95204.1,,2934656,2936303,neg,,fumarate hydratase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226720.1,154
CDS_CP065832.1_53668_53935_pos,CP065832.1,I8N76_27155,QPW00341.1,,53668,53935,pos,,DUF1778 domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004213599.1,129
CDS_CP065831.1_1531125_1532442_pos,CP065831.1,I8N76_07655,QPV98861.1,,1531125,1532442,pos,,PLP-dependent aminotransferase family protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004147486.1,21
CDS_CP065831.1_750683_751040_pos,CP065831.1,I8N76_03830,QPV98163.1,,750683,751040,pos,,phage GP46 family protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000372929.1,117
CDS_CP065831.1_1536077_1536938_pos,CP065831.1,I8N76_07680,QPV98863.1,,1536077,1536938,pos,,LysR family transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:WP_006324343.1,59
CDS_CP065831.1_3249913_3250123_neg,CP065831.1,I8N76_16095,QPV95481.1,,3249913,3250123,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804740.1,141
CDS_CP065831.1_4838695_4838959_pos,CP065831.1,I8N76_23960,QPV96921.1,,4838695,4838959,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004192273.1,127
CDS_CP065831.1_3245042_3246314_neg,CP065831.1,I8N76_16075,QPV95477.1,,3245042,3246314,neg,,minor capsid protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804755.1,24
CDS_CP065831.1_3458032_3458659_neg,CP065831.1,I8N76_17265,QPV95689.1,,3458032,3458659,neg,,tail fiber assembly protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804748.1,80
CDS_CP065831.1_748808_750044_pos,CP065831.1,I8N76_03820,QPV98161.1,,748808,750044,pos,,phage tail protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804753.1,1
CDS_CP065831.1_750027_750609_pos,CP065831.1,I8N76_03825,QPV98162.1,,750027,750609,pos,,phage baseplate assembly protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804720.1,82
CDS_CP065831.1_3753905_3755269_neg,CP065831.1,I8N76_18645,QPV95951.1,,3753905,3755269,neg,,IS3-like element ISKpn1 family transposase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_076611151.1,19
CDS_CP065831.1_729686_730124_pos,CP065831.1,I8N76_03690,QPV98136.1,,729686,730124,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_001446053.1,101
CDS_CP065831.1_726638_727157_pos,CP065831.1,I8N76_03655,QPV98130.1,,726638,727157,pos,,hypothetical protein,,,,COORDINATES: ab initio prediction:GeneMarkS-2+,89
CDS_CP065831.1_2636951_2637668_pos,CP065831.1,I8N76_13095,QPV99844.1,,2636951,2637668,pos,,GntR family transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005227043.1,68
CDS_CP065831.1_1567723_1568158_pos,CP065831.1,I8N76_07890,QPV98901.1,,1567723,1568158,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_006811063.1,107
CDS_CP065831.1_745361_747512_pos,CP065831.1,I8N76_03810,QPV98159.1,,745361,747512,pos,,phage tail tape measure protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804763.1,5
CDS_CP065831.1_1476439_1477351_pos,CP065831.1,I8N76_07340,QPV98815.1,cysM,1476439,1477351,pos,,cysteine synthase CysM,,2.5.1.47,,COORDINATES: similar to AA sequence:RefSeq:YP_005228137.1,51
CDS_CP065831.1_3097518_3098403_pos,CP065831.1,I8N76_15350,QPV95339.1,,3097518,3098403,pos,,LysR family transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226526.1,56
CDS_CP065832.1_189325_189751_pos,CP065832.1,I8N76_27915,QPW00290.1,umuD,189325,189751,pos,,translesion error-prone DNA polymerase V autoproteolytic subunit,,2.7.7.7,,COORDINATES: similar to AA sequence:RefSeq:WP_004178083.1,106
CDS_CP065831.1_2125953_2126463_pos,CP065831.1,I8N76_10520,QPV99383.1,,2125953,2126463,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004184626.1,93
CDS_CP065831.1_3069892_3072415_neg,CP065831.1,I8N76_15245,QPV95320.1,vgrG,3069892,3072415,neg,,type VI secretion system tip protein VgrG,,,,COORDINATES: similar to AA sequence:RefSeq:WP_001298155.1,3
CDS_CP065831.1_3312529_3313243_pos,CP065831.1,I8N76_16525,QPV95558.1,,3312529,3313243,pos,,winged helix-turn-helix transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226322.1,67
CDS_CP065832.1_112457_113162_pos,CP065832.1,I8N76_27445,QPW00207.1,,112457,113162,pos,,IS6-like element IS26 family transposase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005221000.1,66
CDS_CP065831.1_1972571_1973006_pos,CP065831.1,I8N76_09745,QPV99241.1,,1972571,1973006,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_006811063.1,107
CDS_CP065832.1_43358_43721_pos,CP065832.1,I8N76_27080,QPW00327.1,,43358,43721,pos,,arsenic metallochaperone ArsD family protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000034287.1,115
CDS_CP065831.1_3392033_3392987_neg,CP065831.1,I8N76_16930,QPV95629.1,rluC,3392033,3392987,neg,,23S rRNA pseudouridine(955/2504/2580) synthase RluC,,5.4.99.24,,COORDINATES: similar to AA sequence:RefSeq:NP_460157.1,47
CDS_CP065831.1_3037868_3038732_neg,CP065831.1,I8N76_15085,QPV95294.1,,3037868,3038732,neg,,MBL fold metallo-hydrolase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226631.1,57
CDS_CP065831.1_3488165_3490226_neg,CP065831.1,I8N76_17490,QPV95732.1,,3488165,3490226,neg,,transposase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004119062.1,6
CDS_CP065832.1_62364_62628_pos,CP065832.1,I8N76_27205,QPW00350.1,,62364,62628,pos,,transposase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_002554699.1,124
CDS_CP065831.1_3458658_3459402_neg,CP065831.1,I8N76_17270,QPV95690.1,,3458658,3459402,neg,,tail fiber protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804710.1,62
CDS_CP065831.1_3241039_3241468_neg,CP065831.1,I8N76_16045,QPV95471.1,,3241039,3241468,neg,,DUF1320 domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804749.1,109
CDS_CP065831.1_751039_752101_pos,CP065831.1,I8N76_03835,QPV98164.1,,751039,752101,pos,,baseplate J/gp47 family protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804712.1,42
CDS_CP065831.1_3316996_3318217_neg,CP065831.1,I8N76_16545,QPW00106.1,,3316996,3318217,neg,,RNA-directed DNA polymerase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004392758.1,28
CDS_CP065831.1_3482425_3482902_neg,CP065831.1,I8N76_17430,QPV95721.1,,3482425,3482902,neg,,regulatory protein GemA,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804741.1,96
CDS_CP065831.1_740126_740522_pos,CP065831.1,I8N76_03765,QPV98151.1,,740126,740522,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804726.1,113
CDS_CP065831.1_725569_726208_pos,CP065831.1,I8N76_03650,QPV98129.1,,725569,726208,pos,,DUF3164 family protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804745.1,77
CDS_CP065831.1_4780417_4780696_pos,CP065831.1,I8N76_23670,QPV96872.1,,4780417,4780696,pos,,BMC domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004249182.1,137
CDS_CP065831.1_3251170_3251806_neg,CP065831.1,I8N76_16115,QPV95485.1,,3251170,3251806,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804760.1,78
CDS_CP065831.1_738271_738814_pos,CP065831.1,I8N76_03755,QPV98149.1,,738271,738814,pos,,phage virion morphogenesis protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804731.1,86
CDS_CP065831.1_1851306_1851936_pos,CP065831.1,I8N76_09120,QPV99137.1,,1851306,1851936,pos,,phosphatase PAP2 family protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005227873.1,81
CDS_CP065831.1_2138094_2138985_pos,CP065831.1,I8N76_10605,QPV99395.1,,2138094,2138985,pos,,SUMF1/EgtB/PvdO family nonheme iron enzyme,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004152632.1,53
CDS_CP065831.1_2432184_2432625_pos,CP065831.1,I8N76_12090,QPV99656.1,slyA,2432184,2432625,pos,,transcriptional regulator SlyA,,,,COORDINATES: similar to AA sequence:RefSeq:NP_460407.3,108
CDS_CP065831.1_1875865_1876873_pos,CP065831.1,I8N76_09215,QPV99155.1,,1875865,1876873,pos,,NAD-dependent epimerase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004144152.1,43
CDS_CP065831.1_3230420_3231077_neg,CP065831.1,I8N76_15985,QPV95460.1,,3230420,3231077,neg,,DUF2313 domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804756.1,72
CDS_CP065831.1_2555280_2555937_pos,CP065831.1,I8N76_12695,QPW00065.1,fdnI,2555280,2555937,pos,,formate dehydrogenase-N subunit gamma,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005227134.1,73
CDS_CP065831.1_3250617_3250932_neg,CP065831.1,I8N76_16105,QPV95483.1,,3250617,3250932,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804754.1,121
CDS_CP065831.1_3253978_3254194_neg,CP065831.1,I8N76_16145,QPV95491.1,,3253978,3254194,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804757.1,139
CDS_CP065831.1_3486783_3487017_neg,CP065831.1,I8N76_17475,QPV95729.1,,3486783,3487017,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804713.1,134
CDS_CP065831.1_720750_721476_neg,CP065831.1,I8N76_03615,QPV98122.1,,720750,721476,neg,,helix-turn-helix transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004119064.1,65
CDS_CP065832.1_46624_47914_neg,CP065832.1,I8N76_27100,QPW00330.1,arsB,46624,47914,neg,,arsenite efflux transporter membrane subunit ArsB,,,,COORDINATES: similar to AA sequence:RefSeq:NP_312401.1,152
CDS_CP065831.1_725150_725384_pos,CP065831.1,I8N76_03640,QPV98127.1,,725150,725384,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804713.1,134
CDS_CP065831.1_3985959_3986679_pos,CP065831.1,I8N76_19795,QPV96150.1,,3985959,3986679,pos,,phosphodiester glycosidase family protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005225697.1,64
CDS_CP065831.1_3467702_3469121_neg,CP065831.1,I8N76_17320,QPV95699.1,,3467702,3469121,neg,,phage tail sheath subtilisin-like domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804728.1,17
CDS_CP065831.1_3227055_3229047_neg,CP065831.1,I8N76_15970,QPV95457.1,,3227055,3229047,neg,,right-handed parallel beta-helix repeat-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004144712.1,7
CDS_CP065831.1_752765_753509_pos,CP065831.1,I8N76_03845,QPV98166.1,,752765,753509,pos,,tail fiber protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804710.1,62
CDS_CP065831.1_3234343_3235657_neg,CP065831.1,I8N76_16010,QPV95465.1,,3234343,3235657,neg,,DNA circularization N-terminal domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804765.1,22
