,locus_tag,protein_id,gene,start,end,strand,pseudo,product,db_xref,EC_number,old_locus_tag,inference
CDS_CP060013.1_30590_32420_pos,H5028_00130,QPO03276.1,ilvD,30590,32420,pos,,dihydroxy-acid dehydratase,,4.2.1.9,,COORDINATES: similar to AA sequence:RefSeq:YP_004997195.1
CDS_CP060013.1_32733_34023_pos,H5028_00135,QPO03277.1,,32733,34023,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997194.1
CDS_CP060013.1_34126_34834_pos,H5028_00140,QPO04865.1,,34126,34834,pos,,sulfite exporter TauE/SafE family protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997193.1
CDS_CP060013.1_34842_35733_neg,H5028_00145,QPO03278.1,,34842,35733,neg,,LysR family transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997192.1
CDS_CP060013.1_35812_37108_neg,H5028_00150,QPO03279.1,,35812,37108,neg,,pyrimidine utilization transport protein G,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997191.1
CDS_CP060013.1_37408_40093_neg,H5028_00155,QPO03280.1,ppc,37408,40093,neg,,phosphoenolpyruvate carboxylase,,4.1.1.31,,COORDINATES: similar to AA sequence:RefSeq:YP_004997190.1
CDS_CP060013.1_40263_40887_neg,H5028_00160,QPO03281.1,,40263,40887,neg,,TetR/AcrR family transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997189.1
CDS_CP060013.1_41036_42137_pos,H5028_00165,QPO03282.1,,41036,42137,pos,,efflux RND transporter periplasmic adaptor subunit,,,,COORDINATES: similar to AA sequence:RefSeq:WP_001050646.1
CDS_CP060013.1_42139_45265_pos,H5028_00170,QPO03283.1,,42139,45265,pos,,efflux RND transporter permease subunit,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997187.1
CDS_CP060013.1_45404_45782_pos,H5028_00175,QPO03284.1,,45404,45782,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997186.1
CDS_CP060013.1_45886_46999_pos,H5028_00180,QPO03285.1,dnaJ,45886,46999,pos,,molecular chaperone DnaJ,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997185.1
CDS_CP060013.1_47113_47464_neg,H5028_00185,QPO03286.1,,47113,47464,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997184.1
CDS_CP060013.1_47648_48470_pos,H5028_00190,QPO03287.1,dapB,47648,48470,pos,,4-hydroxy-tetrahydrodipicolinate reductase,,1.17.1.8,,COORDINATES: similar to AA sequence:RefSeq:YP_004997183.1
CDS_CP060013.1_48521_49175_pos,H5028_00195,QPO03288.1,,48521,49175,pos,,START domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997182.1
CDS_CP060013.1_49215_50406_neg,H5028_00200,QPO03289.1,,49215,50406,neg,,MFS transporter,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997181.1
CDS_CP060013.1_50410_51214_neg,H5028_00205,QPO03290.1,dkgB,50410,51214,neg,,"2,5-didehydrogluconate reductase DkgB",,1.1.1.346,,COORDINATES: similar to AA sequence:RefSeq:WP_001025219.1
CDS_CP060013.1_51334_52237_pos,H5028_00210,QPO03291.1,,51334,52237,pos,,LysR family transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997178.1
CDS_CP060013.1_52220_52595_neg,H5028_00215,QPO03292.1,,52220,52595,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997177.1
CDS_CP060013.1_52602_52725_neg,H5028_00220,QPO03293.1,,52602,52725,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997176.1
CDS_CP060013.1_52685_54110_pos,H5028_00225,QPO03294.1,,52685,54110,pos,,PLP-dependent aminotransferase family protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997175.1
CDS_CP060013.1_54112_55141_neg,H5028_00230,QPO03295.1,,54112,55141,neg,,NAD(P)-dependent alcohol dehydrogenase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997174.1
CDS_CP060013.1_55179_55740_neg,H5028_00235,QPO03296.1,,55179,55740,neg,,DNA-3-methyladenine glycosylase I,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997173.1
CDS_CP060013.1_55770_56016_neg,H5028_00240,QPO03297.1,,55770,56016,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997172.1
CDS_CP060013.1_56025_56562_neg,H5028_00245,QPO03298.1,,56025,56562,neg,,M23 family metallopeptidase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997171.1
CDS_CP060013.1_56609_57644_neg,H5028_00250,QPO03299.1,mutY,56609,57644,neg,,A/G-specific adenine glycosylase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997170.1
CDS_CP060013.1_57784_58147_neg,H5028_00255,QPO03300.1,,57784,58147,neg,,HIT family protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997169.1
CDS_CP060013.1_58332_59070_neg,H5028_00260,QPO03301.1,,58332,59070,neg,,dienelactone hydrolase family protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997168.1
CDS_CP060013.1_59241_59400_neg,H5028_00265,QPO03302.1,,59241,59400,neg,,DUF1328 domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997167.1
CDS_CP060013.1_59594_60053_pos,H5028_00270,QPO03303.1,,59594,60053,pos,,YcgN family cysteine cluster protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997166.1
CDS_CP060013.1_60162_61335_pos,H5028_00275,QPO03304.1,,60162,61335,pos,,PQQ-dependent sugar dehydrogenase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000986284.1
CDS_CP060013.1_61440_62706_pos,H5028_00280,QPO03305.1,,61440,62706,pos,,replication-associated recombination protein A,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997164.1
CDS_CP060013.1_62721_63561_neg,H5028_00285,QPO03306.1,,62721,63561,neg,,formate/nitrite transporter family protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000349488.1
CDS_CP060013.1_63846_64050_neg,H5028_00290,QPO03307.1,,63846,64050,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000418559.1
CDS_CP060013.1_64242_64962_neg,H5028_00295,QPO03308.1,purC,64242,64962,neg,,phosphoribosylaminoimidazolesuccinocarboxamide synthase,,6.3.2.6,,COORDINATES: similar to AA sequence:RefSeq:YP_004997161.1
CDS_CP060013.1_64998_65601_neg,H5028_00300,QPO04866.1,,64998,65601,neg,,lipoprotein-34 precursor (NlpB),,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997160.1
CDS_CP060013.1_65616_66510_neg,H5028_00305,QPO03309.1,,65616,66510,neg,,4-hydroxy-tetrahydrodipicolinate synthase,,4.3.3.7,,COORDINATES: similar to AA sequence:RefSeq:YP_004997159.1
CDS_CP060013.1_66839_67484_pos,H5028_00310,QPO03310.1,pncA,66839,67484,pos,,bifunctional nicotinamidase/pyrazinamidase,,3.5.1.-,,COORDINATES: similar to AA sequence:RefSeq:WP_006582415.1
CDS_CP060013.1_67538_68474_pos,H5028_00315,QPO03311.1,,67538,68474,pos,,bile acid:sodium symporter family protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997157.1
CDS_CP060013.1_68655_69999_pos,H5028_00320,QPO03312.1,,68655,69999,pos,,MATE family efflux transporter,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997156.1
CDS_CP060013.1_70019_70490_neg,H5028_00325,QPO03313.1,,70019,70490,neg,,DUF523 domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997155.1
CDS_CP060013.1_71012_72068_pos,H5028_00330,QPO03314.1,hppD,71012,72068,pos,,4-hydroxyphenylpyruvate dioxygenase,,1.13.11.27,,COORDINATES: similar to AA sequence:RefSeq:YP_004997154.1
CDS_CP060013.1_72132_72912_neg,H5028_00335,QPO03315.1,,72132,72912,neg,,IclR family transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997153.1
CDS_CP060013.1_73211_73760_neg,H5028_00340,QPO03316.1,,73211,73760,neg,,VOC family protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004915503.1
CDS_CP060013.1_73777_74410_neg,H5028_00345,QPO03317.1,maiA,73777,74410,neg,,maleylacetoacetate isomerase,,5.2.1.2,,COORDINATES: similar to AA sequence:RefSeq:YP_004997151.1
CDS_CP060013.1_74396_75704_neg,H5028_00350,QPO03318.1,fahA,74396,75704,neg,,fumarylacetoacetase,,3.7.1.2,,COORDINATES: similar to AA sequence:RefSeq:YP_004997150.1
CDS_CP060013.1_76062_77451_pos,H5028_00355,QPO03319.1,,76062,77451,pos,,amino acid permease,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997149.1
CDS_CP060013.1_77610_78294_pos,H5028_00360,QPO03320.1,,77610,78294,pos,,peptidase M15,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020753560.1
CDS_CP060013.1_78436_79702_pos,H5028_00365,QPO03321.1,,78436,79702,pos,,GTP-binding protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997147.1
CDS_CP060013.1_79735_80848_neg,H5028_00370,QPO03322.1,,79735,80848,neg,,acyltransferase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_005134484.1
CDS_CP060013.1_81200_81953_pos,H5028_00375,QPO03323.1,hutC,81200,81953,pos,,histidine utilization repressor,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997145.1
CDS_CP060013.1_81949_82525_pos,H5028_00380,QPO03324.1,,81949,82525,pos,,HutD family protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_002119143.1
CDS_CP060013.1_82775_84452_pos,H5028_00385,QPO03325.1,hutU,82775,84452,pos,,urocanate hydratase,,4.2.1.49,,COORDINATES: similar to AA sequence:RefSeq:WP_000210410.1
CDS_CP060013.1_84539_86078_pos,H5028_00390,QPO03326.1,hutH,84539,86078,pos,,histidine ammonia-lyase,,4.3.1.3,,COORDINATES: similar to AA sequence:RefSeq:YP_004997142.1
CDS_CP060013.1_86142_87555_pos,H5028_00395,QPO03327.1,,86142,87555,pos,,amino acid permease,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997141.1
CDS_CP060013.1_87606_88812_pos,H5028_00400,QPO03328.1,,87606,88812,pos,,imidazolonepropionase,,3.5.2.7,,COORDINATES: similar to AA sequence:RefSeq:YP_004997140.1
CDS_CP060013.1_88822_89743_pos,H5028_00405,QPO03329.1,hutG,88822,89743,pos,,formimidoylglutamase,,3.5.3.8,,COORDINATES: similar to AA sequence:RefSeq:YP_004997139.1
CDS_CP060013.1_89996_91823_pos,H5028_00410,QPO03330.1,,89996,91823,pos,,DUF885 domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997138.1
CDS_CP060013.1_91922_92561_pos,H5028_00415,QPO03331.1,,91922,92561,pos,,HAD family hydrolase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997137.1
CDS_CP060013.1_92584_93385_pos,H5028_00420,QPO03332.1,murI,92584,93385,pos,,glutamate racemase,,5.1.1.3,,COORDINATES: similar to AA sequence:RefSeq:WP_016653432.1
CDS_CP060013.1_93607_94168_neg,H5028_00425,QPO03333.1,,93607,94168,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_005142271.1
CDS_CP060013.1_94374_95985_neg,H5028_00430,QPO03334.1,,94374,95985,neg,,ATP-dependent helicase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_005142264.1
CDS_CP060013.1_95981_97847_neg,H5028_00435,QPO04867.1,,95981,97847,neg,,AAA family ATPase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000406299.1
CDS_CP060013.1_97864_101305_neg,H5028_00440,QPO03335.1,,97864,101305,neg,,DEAD/DEAH box helicase family protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_006582015.1
CDS_CP060013.1_101334_102486_neg,H5028_00445,QPO03336.1,,101334,102486,neg,,restriction endonuclease subunit S,,,,COORDINATES: similar to AA sequence:RefSeq:WP_005142259.1
CDS_CP060013.1_102482_103982_neg,H5028_00450,QPO03337.1,,102482,103982,neg,,SAM-dependent DNA methyltransferase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_005171197.1
CDS_CP060013.1_104171_104405_pos,H5028_00455,QPO03338.1,,104171,104405,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004814619.1
CDS_CP060013.1_104516_104729_neg,H5028_00460,QPO03339.1,,104516,104729,neg,,helix-turn-helix transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:WP_005142173.1
CDS_CP060013.1_104828_105311_pos,H5028_00465,QPO03340.1,,104828,105311,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_017386453.1
CDS_CP060013.1_105428_105623_pos,H5028_00470,QPO03341.1,,105428,105623,pos,,DNA-binding protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_005142171.1
CDS_CP060013.1_105797_107339_pos,H5028_00475,QPO03342.1,,105797,107339,pos,,IS21 family transposase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_005142168.1
CDS_CP060013.1_107316_108246_neg,H5028_00480,QPO03343.1,,107316,108246,neg,,IS5 family transposase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_001091151.1
CDS_CP060013.1_108361_108844_pos,H5028_00485,,,108361,108844,pos,True,ATP-binding protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_005317197.1
CDS_CP060013.1_108912_110003_pos,H5028_00490,QPO04868.1,,108912,110003,pos,,IS4 family transposase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_076612069.1
CDS_CP060013.1_110165_111298_pos,H5028_00495,,,110165,111298,pos,True,IS3-like element ISAba14 family transposase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_076612008.1
CDS_CP060013.1_111403_112183_pos,H5028_00500,QPO03344.1,aph(3')-VI,111403,112183,pos,,APH(3')-VI family aminoglycoside O-phosphotransferase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000422636.1
CDS_CP060013.1_112334_113360_pos,H5028_00505,QPO03345.1,,112334,113360,pos,,IS30-like element ISAba125 family transposase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_079376506.1
CDS_CP060013.1_113460_114273_pos,H5028_00510,QPO03346.1,,113460,114273,pos,,subclass B1 metallo-beta-lactamase NDM-1,,,,COORDINATES: similar to AA sequence:RefSeq:WP_032492661.1
CDS_CP060013.1_114276_114642_pos,H5028_00515,QPO03347.1,ble,114276,114642,pos,,bleomycin binding protein Ble-MBL,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004201167.1
CDS_CP060013.1_114646_115285_pos,H5028_00520,QPO03348.1,,114646,115285,pos,,phosphoribosylanthranilate isomerase,,5.3.1.24,,COORDINATES: similar to AA sequence:RefSeq:WP_004201168.1
CDS_CP060013.1_115295_116327_neg,H5028_00525,QPO03349.1,,115295,116327,neg,,protein-disulfide reductase DsbD N-terminal domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004201169.1
CDS_CP060013.1_116331_116661_neg,H5028_00530,QPO03350.1,,116331,116661,neg,,divalent-cation tolerance protein CutA,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004201171.1
CDS_CP060013.1_116838_117971_pos,H5028_00535,,,116838,117971,pos,True,IS3-like element ISAba14 family transposase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_076612008.1
CDS_CP060013.1_118033_118264_pos,H5028_00540,,,118033,118264,pos,True,ATP-binding protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_005317197.1
CDS_CP060013.1_118746_121143_neg,H5028_00545,QPO03351.1,,118746,121143,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_005265695.1
CDS_CP060013.1_121148_122000_neg,H5028_00550,QPO03352.1,,121148,122000,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_005265693.1
CDS_CP060013.1_121992_122949_neg,H5028_00555,QPO03353.1,,121992,122949,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_005142130.1
CDS_CP060013.1_122951_124061_neg,H5028_00560,QPO03354.1,,122951,124061,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_005265691.1
CDS_CP060013.1_124074_125346_neg,H5028_00565,QPO03355.1,,124074,125346,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_005265690.1
CDS_CP060013.1_125730_126054_pos,H5028_00570,,,125730,126054,pos,True,IS1 family transposase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_015586042.1
CDS_CP060013.1_126186_127212_pos,H5028_00575,QPO03356.1,,126186,127212,pos,,IS30 family transposase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_079376506.1
CDS_CP060013.1_127569_129525_neg,H5028_00580,QPO03357.1,,127569,129525,neg,,MBL fold metallo-hydrolase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004724726.1
CDS_CP060013.1_129606_129867_neg,H5028_00585,,,129606,129867,neg,True,transposase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_032072965.1
CDS_CP060013.1_129923_130949_pos,H5028_00590,QPO03358.1,,129923,130949,pos,,IS30 family transposase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_079376506.1
CDS_CP060013.1_130939_131728_neg,H5028_00595,QPO03359.1,,130939,131728,neg,,AAA family ATPase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004694823.1
CDS_CP060013.1_131727_132747_neg,H5028_00600,,,131727,132747,neg,True,IS21 family transposase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_016659752.1
CDS_CP060013.1_132831_133218_pos,H5028_00605,,,132831,133218,pos,True,IS1 family transposase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_015586042.1
CDS_CP060013.1_133484_133895_neg,H5028_00610,QPO03360.1,,133484,133895,neg,,VanZ family protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_005142114.1
CDS_CP060013.1_134020_135607_neg,H5028_00615,QPO03361.1,,134020,135607,neg,,transposase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_005181315.1
CDS_CP060013.1_135596_137129_neg,H5028_00620,QPO03362.1,,135596,137129,neg,,TniQ family protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004777584.1
CDS_CP060013.1_137144_138797_neg,H5028_00625,QPO03363.1,,137144,138797,neg,,AAA family ATPase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000181346.1
CDS_CP060013.1_138793_140884_neg,H5028_00630,QPO03364.1,,138793,140884,neg,,transposase family protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004637213.1
CDS_CP060013.1_140867_141677_neg,H5028_00635,QPO03365.1,,140867,141677,neg,,heteromeric transposase endonuclease subunit TnsA,,,,COORDINATES: similar to AA sequence:RefSeq:WP_005142106.1
CDS_CP060013.1_141834_143673_neg,H5028_00640,QPO03366.1,glmS,141834,143673,neg,,glutamine--fructose-6-phosphate transaminase (isomerizing),,2.6.1.16,,COORDINATES: similar to AA sequence:RefSeq:WP_000334171.1
CDS_CP060013.1_143685_145050_neg,H5028_00645,QPO03367.1,glmU,143685,145050,neg,,bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU,,2.3.1.157,,COORDINATES: similar to AA sequence:RefSeq:YP_004997132.1
CDS_CP060013.1_145066_145582_neg,H5028_00650,QPO03368.1,,145066,145582,neg,,phosphatidylglycerophosphatase A,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997131.1
CDS_CP060013.1_145559_146477_neg,H5028_00655,QPO03369.1,thiL,145559,146477,neg,,thiamine-phosphate kinase,,2.7.4.16,,COORDINATES: similar to AA sequence:RefSeq:YP_004997130.1
CDS_CP060013.1_146492_146942_neg,H5028_00660,QPO03370.1,nusB,146492,146942,neg,,transcription antitermination factor NusB,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004878158.1
CDS_CP060013.1_146945_147416_neg,H5028_00665,QPO03371.1,ribE,146945,147416,neg,,"6,7-dimethyl-8-ribityllumazine synthase",,2.5.1.78,,COORDINATES: similar to AA sequence:RefSeq:YP_004997128.1
CDS_CP060013.1_147427_148549_neg,H5028_00670,QPO03372.1,,147427,148549,neg,,"bifunctional 3,4-dihydroxy-2-butanone-4-phosphate synthase/GTP cyclohydrolase II",,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997127.1
CDS_CP060013.1_148788_150096_neg,H5028_00675,QPO03373.1,,148788,150096,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997126.1
CDS_CP060013.1_150155_151379_pos,H5028_00680,QPO03374.1,serB,150155,151379,pos,,phosphoserine phosphatase SerB,,3.1.3.3,,COORDINATES: similar to AA sequence:RefSeq:WP_004650828.1
CDS_CP060013.1_151788_152124_pos,H5028_00685,QPO03375.1,,151788,152124,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997124.1
CDS_CP060013.1_152377_152857_pos,H5028_00690,QPO03376.1,,152377,152857,pos,,SCP-2 sterol transfer family protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997123.1
CDS_CP060013.1_152896_153340_neg,H5028_00695,QPO03377.1,,152896,153340,neg,,D-tyrosyl-tRNA(Tyr) deacylase,,3.1.1.96,,COORDINATES: similar to AA sequence:RefSeq:YP_004997122.1
CDS_CP060013.1_153508_154723_pos,H5028_00700,QPO03378.1,pncB,153508,154723,pos,,nicotinate phosphoribosyltransferase,,6.3.4.21,,COORDINATES: similar to AA sequence:RefSeq:WP_005109241.1
CDS_CP060013.1_154873_155722_pos,H5028_00705,QPO04869.1,,154873,155722,pos,,sulfurtransferase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997120.1
CDS_CP060013.1_155718_156570_pos,H5028_00710,QPO03379.1,psd,155718,156570,pos,,phosphatidylserine decarboxylase,,4.1.1.65,,COORDINATES: similar to AA sequence:RefSeq:YP_004997119.1
CDS_CP060013.1_156998_158219_pos,H5028_00715,QPO03380.1,,156998,158219,pos,,acetamidase/formamidase family protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_002057470.1
CDS_CP060013.1_158349_158769_pos,H5028_00720,QPO03381.1,,158349,158769,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_016143822.1
CDS_CP060013.1_158839_159598_neg,H5028_00725,QPO03382.1,,158839,159598,neg,,AcfC family putative adhesin,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997116.1
CDS_CP060013.1_159889_161032_pos,H5028_00730,QPO04870.1,,159889,161032,pos,,alpha/beta fold hydrolase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997115.1
CDS_CP060013.1_161101_162460_neg,H5028_00735,QPO03383.1,phoR,161101,162460,neg,,phosphate regulon sensor histidine kinase PhoR,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997114.1
CDS_CP060013.1_162469_163180_neg,H5028_00740,QPO03384.1,phoB,162469,163180,neg,,phosphate regulon transcriptional regulator PhoB,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997113.1
CDS_CP060013.1_163435_164107_neg,H5028_00745,QPO03385.1,,163435,164107,neg,,TetR/AcrR family transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997112.1
CDS_CP060013.1_164303_165137_pos,H5028_00750,QPO03386.1,,164303,165137,pos,,SDR family NAD(P)-dependent oxidoreductase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997111.1
