,locus_tag,protein_id,gene,start,end,strand,pseudo,product,Dbxref,inference,type,ID,Parent,Name,gbkey,transl_table,source,phase,end_range,partial,start_range
CDS_NC_009641.1_22444_23728_pos,NWMN_RS00085,WP_000095327.1,,22444,23728,pos,,adenylosuccinate synthase,Genbank:WP_000095327.1,COORDINATES: similar to AA sequence:RefSeq:YP_498625.1,CDS,cds-WP_000095327.1,gene-NWMN_RS00085,WP_000095327.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_24931_25633_pos,NWMN_RS00100,WP_000101976.1,,24931,25633,pos,,response regulator transcription factor,Genbank:WP_000101976.1,COORDINATES: similar to AA sequence:RefSeq:WP_020368220.1,CDS,cds-WP_000101976.1,gene-NWMN_RS00100,WP_000101976.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_25645_27472_pos,NWMN_RS00105,WP_000871602.1,walK,25645,27472,pos,,cell wall metabolism sensor histidine kinase WalK,Genbank:WP_000871602.1,COORDINATES: similar to AA sequence:RefSeq:YP_498627.1,CDS,cds-WP_000871602.1,gene-NWMN_RS00105,WP_000871602.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_27464_28799_pos,NWMN_RS00110,WP_001060131.1,,27464,28799,pos,,hypothetical protein,Genbank:WP_001060131.1,COORDINATES: similar to AA sequence:RefSeq:WP_001060131.1,CDS,cds-WP_001060131.1,gene-NWMN_RS00110,WP_001060131.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_28799_29588_pos,NWMN_RS00115,WP_001104172.1,,28799,29588,pos,,hypothetical protein,Genbank:WP_001104172.1,COORDINATES: similar to AA sequence:RefSeq:YP_498629.1,CDS,cds-WP_001104172.1,gene-NWMN_RS00115,WP_001104172.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_29977_30778_pos,NWMN_RS00120,WP_000088648.1,,29977,30778,pos,,MBL fold metallo-hydrolase,Genbank:WP_000088648.1,COORDINATES: similar to AA sequence:RefSeq:YP_498630.1,CDS,cds-WP_000088648.1,gene-NWMN_RS00120,WP_000088648.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_31005_33324_pos,NWMN_RS00125,WP_000645780.1,,31005,33324,pos,,LPXTG-anchored adenosine synthase AdsA,Genbank:WP_000645780.1,COORDINATES: similar to AA sequence:RefSeq:YP_498631.1,CDS,cds-WP_000645780.1,gene-NWMN_RS00125,WP_000645780.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_33691_34171_pos,NWMN_RS00130,WP_000704775.1,rlmH,33691,34171,pos,,23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH,Genbank:WP_000704775.1,COORDINATES: similar to AA sequence:RefSeq:WP_020363758.1,CDS,cds-WP_000704775.1,gene-NWMN_RS00130,WP_000704775.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_34375_34510_neg,NWMN_RS00135,WP_001790628.1,,34375,34510,neg,,hypothetical protein,Genbank:WP_001790628.1,COORDINATES: similar to AA sequence:RefSeq:YP_498634.1,CDS,cds-WP_001790628.1,gene-NWMN_RS00135,WP_001790628.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_34473_34566_pos,NWMN_RS00140,WP_001790000.1,,34473,34566,pos,,hypothetical protein,Genbank:WP_001790000.1,COORDINATES: similar to AA sequence:RefSeq:YP_498635.1,CDS,cds-WP_001790000.1,gene-NWMN_RS00140,WP_001790000.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_34712_36458_pos,NWMN_RS00145,WP_000700190.1,,34712,36458,pos,,hypothetical protein,Genbank:WP_000700190.1,COORDINATES: similar to AA sequence:RefSeq:YP_498636.1,CDS,cds-WP_000700190.1,gene-NWMN_RS00145,WP_000700190.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_36551_37004_neg,NWMN_RS00150,WP_000048258.1,,36551,37004,neg,,tRNA-dihydrouridine synthase,Genbank:WP_000048258.1,COORDINATES: similar to AA sequence:RefSeq:WP_000049443.1,CDS,cds-WP_000048258.1,gene-NWMN_RS00150,WP_000048258.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_37019_37121_neg,NWMN_RS00155,WP_001791873.1,,37019,37121,neg,,hypothetical protein,Genbank:WP_001791873.1,COORDINATES: similar to AA sequence:RefSeq:YP_498638.1,CDS,cds-WP_001791873.1,gene-NWMN_RS00155,WP_001791873.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_37218_37974_neg,NWMN_RS00160,WP_000355845.1,,37218,37974,neg,,sulfite exporter TauE/SafE family protein,Genbank:WP_000355845.1,COORDINATES: similar to AA sequence:RefSeq:YP_498639.1,CDS,cds-WP_000355845.1,gene-NWMN_RS00160,WP_000355845.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_37973_38234_neg,NWMN_RS00165,WP_001105087.1,cstR,37973,38234,neg,,persulfide-sensing transcriptional repressor CstR,Genbank:WP_001105087.1,COORDINATES: similar to AA sequence:RefSeq:YP_498640.1,CDS,cds-WP_001105087.1,gene-NWMN_RS00165,WP_001105087.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_38370_39438_pos,NWMN_RS00170,WP_000816129.1,cstA,38370,39438,pos,,persulfide response sulfurtransferase CstA,Genbank:WP_000816129.1,COORDINATES: similar to AA sequence:RefSeq:YP_498641.1,CDS,cds-WP_000816129.1,gene-NWMN_RS00170,WP_000816129.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_39468_40803_pos,NWMN_RS00175,WP_000465472.1,cstB,39468,40803,pos,,persulfide dioxygenase-sulfurtransferase CstB,Genbank:WP_000465472.1,COORDINATES: similar to AA sequence:RefSeq:YP_498642.1,CDS,cds-WP_000465472.1,gene-NWMN_RS00175,WP_000465472.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_40821_42015_pos,NWMN_RS00180,WP_001033018.1,sqr,40821,42015,pos,,type II sulfide:quinone oxidoreductase Sqr,Genbank:WP_001033018.1,COORDINATES: similar to AA sequence:RefSeq:YP_498643.1,CDS,cds-WP_001033018.1,gene-NWMN_RS00180,WP_001033018.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_42281_42383_neg,NWMN_RS00185,WP_001790237.1,,42281,42383,neg,,universal stress protein,Genbank:WP_001790237.1,COORDINATES: similar to AA sequence:RefSeq:YP_498644.1,CDS,cds-WP_001790237.1,gene-NWMN_RS00185,WP_001790237.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_42379_42581_neg,NWMN_RS15025,,,42379,42581,neg,true,hypothetical protein,,COORDINATES: similar to AA sequence:RefSeq:WP_001838734.1,CDS,cds-NWMN_RS15025,gene-NWMN_RS15025,,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_42681_43614_neg,NWMN_RS00190,WP_001827266.1,,42681,43614,neg,,tRNA-dihydrouridine synthase,Genbank:WP_001827266.1,COORDINATES: similar to AA sequence:RefSeq:YP_498645.1,CDS,cds-WP_001827266.1,gene-NWMN_RS00190,WP_001827266.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_43976_44180_pos,NWMN_RS00195,WP_000398679.1,,43976,44180,pos,,hypothetical protein,Genbank:WP_000398679.1,COORDINATES: similar to AA sequence:RefSeq:YP_498646.1,CDS,cds-WP_000398679.1,gene-NWMN_RS00195,WP_000398679.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_44228_44525_pos,NWMN_RS00200,WP_000201640.1,,44228,44525,pos,,TfoX/Sxy family protein,Genbank:WP_000201640.1,COORDINATES: similar to AA sequence:RefSeq:WP_000179889.1,CDS,cds-WP_000201640.1,gene-NWMN_RS00200,WP_000201640.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_44596_45817_neg,NWMN_RS00205,WP_000130764.1,,44596,45817,neg,,MFS transporter,Genbank:WP_000130764.1,COORDINATES: similar to AA sequence:RefSeq:YP_498648.1,CDS,cds-WP_000130764.1,gene-NWMN_RS00205,WP_000130764.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_45809_46295_neg,NWMN_RS00210,WP_001549990.1,,45809,46295,neg,,flavodoxin family protein,Genbank:WP_001549990.1,COORDINATES: similar to AA sequence:RefSeq:WP_001549990.1,CDS,cds-WP_001549990.1,gene-NWMN_RS00210,WP_001549990.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_46472_47333_pos,NWMN_RS00215,WP_001052510.1,,46472,47333,pos,,LysR family transcriptional regulator,Genbank:WP_001052510.1,COORDINATES: similar to AA sequence:RefSeq:YP_498650.1,CDS,cds-WP_001052510.1,gene-NWMN_RS00215,WP_001052510.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_47687_48221_neg,NWMN_RS00220,WP_000543163.1,,47687,48221,neg,,DUF4865 family protein,Genbank:WP_000543163.1,COORDINATES: similar to AA sequence:RefSeq:YP_498651.1,CDS,cds-WP_000543163.1,gene-NWMN_RS00220,WP_000543163.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_48311_49055_pos,NWMN_RS00225,WP_001793250.1,,48311,49055,pos,,LysR family transcriptional regulator,Genbank:WP_001793250.1,COORDINATES: similar to AA sequence:RefSeq:YP_498652.1,CDS,cds-WP_001793250.1,gene-NWMN_RS00225,WP_001793250.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_49488_50091_pos,NWMN_RS00230,WP_000908952.1,,49488,50091,pos,,hypothetical protein,Genbank:WP_000908952.1,COORDINATES: similar to AA sequence:RefSeq:YP_498653.1,CDS,cds-WP_000908952.1,gene-NWMN_RS00230,WP_000908952.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_50357_53510_pos,NWMN_RS00235,WP_000080559.1,,50357,53510,pos,,ATPase,Genbank:WP_000080559.1,COORDINATES: similar to AA sequence:RefSeq:YP_498654.1,CDS,cds-WP_000080559.1,gene-NWMN_RS00235,WP_000080559.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_53566_54049_pos,NWMN_RS00240,WP_000410568.1,,53566,54049,pos,,hypothetical protein,Genbank:WP_000410568.1,COORDINATES: similar to AA sequence:RefSeq:YP_498655.1,CDS,cds-WP_000410568.1,gene-NWMN_RS00240,WP_000410568.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_54253_55240_pos,NWMN_RS00245,WP_000710576.1,,54253,55240,pos,,phosphatidylinositol-specific phospholipase C,Genbank:WP_000710576.1,COORDINATES: similar to AA sequence:RefSeq:YP_498656.1,CDS,cds-WP_000710576.1,gene-NWMN_RS00245,WP_000710576.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_55460_56231_pos,NWMN_RS00250,WP_000977774.1,,55460,56231,pos,,tandem-type lipoprotein,Genbank:WP_000977774.1,COORDINATES: similar to AA sequence:RefSeq:YP_498657.1,CDS,cds-WP_000977774.1,gene-NWMN_RS00250,WP_000977774.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_56282_57053_pos,NWMN_RS00255,WP_000597212.1,,56282,57053,pos,,tandem-type lipoprotein,Genbank:WP_000597212.1,COORDINATES: similar to AA sequence:RefSeq:YP_498658.1,CDS,cds-WP_000597212.1,gene-NWMN_RS00255,WP_000597212.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_57116_57887_pos,NWMN_RS00260,WP_000977781.1,,57116,57887,pos,,tandem-type lipoprotein,Genbank:WP_000977781.1,COORDINATES: similar to AA sequence:RefSeq:YP_498659.1,CDS,cds-WP_000977781.1,gene-NWMN_RS00260,WP_000977781.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_57953_58721_pos,NWMN_RS00265,WP_000826311.1,,57953,58721,pos,,tandem-type lipoprotein,Genbank:WP_000826311.1,COORDINATES: similar to AA sequence:RefSeq:YP_498660.1,CDS,cds-WP_000826311.1,gene-NWMN_RS00265,WP_000826311.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_58853_61052_pos,NWMN_RS00270,WP_078061238.1,,58853,61052,pos,,helix-turn-helix domain-containing protein,Genbank:WP_078061238.1,COORDINATES: similar to AA sequence:RefSeq:YP_498661.1,CDS,cds-WP_078061238.1,gene-NWMN_RS00270,WP_078061238.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_61202_62381_pos,NWMN_RS00275,WP_001075826.1,,61202,62381,pos,,amidohydrolase,Genbank:WP_001075826.1,COORDINATES: similar to AA sequence:RefSeq:YP_498662.1,CDS,cds-WP_001075826.1,gene-NWMN_RS00275,WP_001075826.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_62382_63771_pos,NWMN_RS00280,WP_001006445.1,,62382,63771,pos,,MFS transporter,Genbank:WP_001006445.1,COORDINATES: similar to AA sequence:RefSeq:YP_498663.1,CDS,cds-WP_001006445.1,gene-NWMN_RS00280,WP_001006445.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_64263_65925_neg,NWMN_RS00285,WP_001791835.1,,64263,65925,neg,,Na/Pi cotransporter family protein,Genbank:WP_001791835.1,COORDINATES: similar to AA sequence:RefSeq:YP_498664.1,CDS,cds-WP_001791835.1,gene-NWMN_RS00285,WP_001791835.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_66250_68026_neg,NWMN_RS00290,WP_000291842.1,,66250,68026,neg,,oleate hydratase,Genbank:WP_000291842.1,COORDINATES: similar to AA sequence:RefSeq:YP_498665.1,CDS,cds-WP_000291842.1,gene-NWMN_RS00290,WP_000291842.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_68199_69072_neg,NWMN_RS00295,WP_001038103.1,,68199,69072,neg,,DMT family transporter,Genbank:WP_001038103.1,COORDINATES: similar to AA sequence:RefSeq:YP_498666.1,CDS,cds-WP_001038103.1,gene-NWMN_RS00295,WP_001038103.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_69184_70582_pos,NWMN_RS00300,WP_001151814.1,,69184,70582,pos,,PLP-dependent aminotransferase family protein,Genbank:WP_001151814.1,COORDINATES: similar to AA sequence:RefSeq:YP_498667.1,CDS,cds-WP_001151814.1,gene-NWMN_RS00300,WP_001151814.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_70771_71245_pos,NWMN_RS00305,WP_000036327.1,,70771,71245,pos,,DUF1648 domain-containing protein,Genbank:WP_000036327.1,COORDINATES: similar to AA sequence:RefSeq:YP_498668.1,CDS,cds-WP_000036327.1,gene-NWMN_RS00305,WP_000036327.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_71506_73099_pos,NWMN_RS00310,WP_000173902.1,,71506,73099,pos,,L-lactate permease,Genbank:WP_000173902.1,COORDINATES: similar to AA sequence:RefSeq:YP_498669.1,CDS,cds-WP_000173902.1,gene-NWMN_RS00310,WP_000173902.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_73427_74954_neg,NWMN_RS00315,WP_000728763.1,spa,73427,74954,neg,,staphylococcal protein A,Genbank:WP_000728763.1,COORDINATES: similar to AA sequence:RefSeq:YP_498670.1,CDS,cds-WP_000728763.1,gene-NWMN_RS00315,WP_000728763.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_75374_76127_neg,NWMN_RS00320,WP_000876756.1,sarS,75374,76127,neg,,HTH-type transcriptional regulator SarS,Genbank:WP_000876756.1,COORDINATES: similar to AA sequence:RefSeq:YP_498671.1,CDS,cds-WP_000876756.1,gene-NWMN_RS00320,WP_000876756.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_76495_77494_neg,NWMN_RS00325,WP_000136636.1,sirC,76495,77494,neg,,staphyloferrin B ABC transporter permease subunit SirC,Genbank:WP_000136636.1,COORDINATES: similar to AA sequence:RefSeq:WP_000136636.1,CDS,cds-WP_000136636.1,gene-NWMN_RS00325,WP_000136636.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_77490_78486_neg,NWMN_RS00330,WP_000924997.1,sirB,77490,78486,neg,,staphyloferrin B ABC transporter permease subunit SirB,Genbank:WP_000924997.1,COORDINATES: similar to AA sequence:RefSeq:YP_498673.1,CDS,cds-WP_000924997.1,gene-NWMN_RS00330,WP_000924997.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_78501_79494_neg,NWMN_RS00335,WP_001045111.1,sirA,78501,79494,neg,,staphyloferrin B ABC transporter substrate-binding protein SirA,Genbank:WP_001045111.1,COORDINATES: similar to AA sequence:RefSeq:YP_498674.1,CDS,cds-WP_001045111.1,gene-NWMN_RS00335,WP_001045111.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_79724_80705_pos,NWMN_RS00340,WP_000570808.1,sbnA,79724,80705,pos,,"2,3-diaminopropionate biosynthesis protein SbnA",Genbank:WP_000570808.1,COORDINATES: similar to AA sequence:RefSeq:WP_000570808.1,CDS,cds-WP_000570808.1,gene-NWMN_RS00340,WP_000570808.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_80701_81712_pos,NWMN_RS00345,WP_001078456.1,sbnB,80701,81712,pos,,N-[(2S)-2-amino-2-carboxyethyl]-L-glutamate dehydrogenase SbnB,Genbank:WP_001078456.1,COORDINATES: similar to AA sequence:RefSeq:YP_498676.1,CDS,cds-WP_001078456.1,gene-NWMN_RS00345,WP_001078456.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_81732_83487_pos,NWMN_RS00350,WP_001179384.1,sbnC,81732,83487,pos,,staphyloferrin B biosynthesis protein SbnC,Genbank:WP_001179384.1,COORDINATES: similar to AA sequence:RefSeq:YP_498677.1,CDS,cds-WP_001179384.1,gene-NWMN_RS00350,WP_001179384.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_83479_84736_pos,NWMN_RS00355,WP_000610051.1,sbnD,83479,84736,pos,,staphyloferrin B export MFS transporter,Genbank:WP_000610051.1,COORDINATES: similar to AA sequence:RefSeq:YP_498678.1,CDS,cds-WP_000610051.1,gene-NWMN_RS00355,WP_000610051.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_84725_86462_pos,NWMN_RS00360,WP_001179888.1,sbnE,84725,86462,pos,,"L-2,3-diaminopropanoate--citrate ligase SbnE",Genbank:WP_001179888.1,COORDINATES: similar to AA sequence:RefSeq:YP_498679.1,CDS,cds-WP_001179888.1,gene-NWMN_RS00360,WP_001179888.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_86370_88221_pos,NWMN_RS00365,WP_001795559.1,sbnF,86370,88221,pos,,3-(L-alanin-3-ylcarbamoyl)-2-[(2-aminoethylcarbamoyl)methyl]-2-hydroxypropanoate synthase SbnF,Genbank:WP_001795559.1,COORDINATES: similar to AA sequence:RefSeq:YP_498680.1,CDS,cds-WP_001795559.1,gene-NWMN_RS00365,WP_001795559.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_88195_88972_pos,NWMN_RS00370,WP_001186806.1,sbnG,88195,88972,pos,,staphyloferrin B biosynthesis citrate synthase SbnG,Genbank:WP_001186806.1,COORDINATES: similar to AA sequence:RefSeq:YP_498681.1,CDS,cds-WP_001186806.1,gene-NWMN_RS00370,WP_001186806.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_88971_90174_pos,NWMN_RS00375,WP_001223700.1,sbnH,88971,90174,pos,,staphyloferrin B biosynthesis decarboxylase SbnH,Genbank:WP_001223700.1,COORDINATES: similar to AA sequence:RefSeq:YP_498682.1,CDS,cds-WP_001223700.1,gene-NWMN_RS00375,WP_001223700.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_90177_90942_pos,NWMN_RS00380,WP_001015549.1,sbnI,90177,90942,pos,,bifunctional transcriptional regulator/O-phospho-L-serine synthase SbnI,Genbank:WP_001015549.1,COORDINATES: similar to AA sequence:RefSeq:YP_498683.1,CDS,cds-WP_001015549.1,gene-NWMN_RS00380,WP_001015549.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_91137_91545_pos,NWMN_RS00390,WP_000094899.1,,91137,91545,pos,,hypothetical protein,Genbank:WP_000094899.1,COORDINATES: similar to AA sequence:RefSeq:YP_498685.1,CDS,cds-WP_000094899.1,gene-NWMN_RS00390,WP_000094899.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_91594_92221_pos,NWMN_RS00395,WP_000414628.1,,91594,92221,pos,,MFS transporter,Genbank:WP_000414628.1,COORDINATES: similar to AA sequence:RefSeq:YP_498686.1,CDS,cds-WP_000414628.1,gene-NWMN_RS00395,WP_000414628.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_92432_93209_pos,NWMN_RS00400,WP_000183771.1,,92432,93209,pos,,(S)-acetoin forming diacetyl reductase,Genbank:WP_000183771.1,COORDINATES: similar to AA sequence:RefSeq:YP_498687.1,CDS,cds-WP_000183771.1,gene-NWMN_RS00400,WP_000183771.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_93352_93475_pos,NWMN_RS00405,WP_001789407.1,,93352,93475,pos,,hypothetical protein,Genbank:WP_001789407.1,COORDINATES: similar to AA sequence:RefSeq:YP_498688.1,CDS,cds-WP_001789407.1,gene-NWMN_RS00405,WP_001789407.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_93544_94525_pos,NWMN_RS00410,WP_001789408.1,,93544,94525,pos,,NAD-dependent epimerase/dehydratase family protein,Genbank:WP_001789408.1,COORDINATES: similar to AA sequence:RefSeq:YP_498689.1,CDS,cds-WP_001789408.1,gene-NWMN_RS00410,WP_001789408.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_94487_95180_pos,NWMN_RS00415,WP_000736084.1,,94487,95180,pos,,sugar transferase,Genbank:WP_000736084.1,COORDINATES: similar to AA sequence:RefSeq:YP_498690.1,CDS,cds-WP_000736084.1,gene-NWMN_RS00415,WP_000736084.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_95389_96556_pos,NWMN_RS00420,WP_000692514.1,,95389,96556,pos,,glycosyltransferase family 4 protein,Genbank:WP_000692514.1,COORDINATES: similar to AA sequence:RefSeq:YP_498691.1,CDS,cds-WP_000692514.1,gene-NWMN_RS00420,WP_000692514.1,CDS,11,Protein Homology,0,,,
