,locus_tag,protein_id,gene,start,end,strand,pseudo,product,db_xref,EC_number,old_locus_tag,inference
CDS_NZ_CP065432.1_13902_14748_neg,I5593_RS00060,WP_000366392.1,,13902,14748,neg,,alpha/beta hydrolase,,,I5593_00060,COORDINATES: similar to AA sequence:RefSeq:WP_000366412.1
CDS_NZ_CP065432.1_14875_16003_neg,I5593_RS00065,WP_001274588.1,,14875,16003,neg,,anhydro-N-acetylmuramic acid kinase,,2.7.1.170,I5593_00065,COORDINATES: similar to AA sequence:RefSeq:WP_019456687.1
CDS_NZ_CP065432.1_16064_17297_pos,I5593_RS00070,WP_000335558.1,,16064,17297,pos,,tyrosine--tRNA ligase,,6.1.1.1,I5593_00070,COORDINATES: similar to AA sequence:RefSeq:WP_020752654.1
CDS_NZ_CP065432.1_23640_24240_pos,I5593_RS00100,WP_000587892.1,,23640,24240,pos,,glutathione S-transferase family protein,,,I5593_00100,COORDINATES: similar to AA sequence:RefSeq:WP_000587881.1
CDS_NZ_CP065432.1_24297_24990_neg,I5593_RS00105,WP_000698067.1,,24297,24990,neg,,TIGR04219 family outer membrane beta-barrel protein,,,I5593_00105,COORDINATES: similar to AA sequence:RefSeq:WP_016143898.1
CDS_NZ_CP065432.1_25619_27098_pos,I5593_RS00110,WP_000132725.1,,25619,27098,pos,,sodium-dependent transporter,,,I5593_00110,COORDINATES: similar to AA sequence:RefSeq:YP_004997199.1
CDS_NZ_CP065432.1_27110_27254_pos,I5593_RS00115,WP_001097630.1,,27110,27254,pos,,methionine/alanine import family NSS transporter small subunit,,,I5593_00115,COORDINATES: protein motif:HMM:NF028261.1
CDS_NZ_CP065432.1_27296_28601_neg,I5593_RS00120,WP_000084722.1,rsmB,27296,28601,neg,,16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB,,2.1.1.176,I5593_00120,COORDINATES: similar to AA sequence:RefSeq:WP_020753569.1
CDS_NZ_CP065432.1_28597_29560_neg,I5593_RS00125,WP_000691205.1,fmt,28597,29560,neg,,methionyl-tRNA formyltransferase,,2.1.2.9,I5593_00125,COORDINATES: similar to AA sequence:RefSeq:YP_004997196.1
CDS_NZ_CP065432.1_29908_31738_pos,I5593_RS00130,WP_001113593.1,ilvD,29908,31738,pos,,dihydroxy-acid dehydratase,,4.2.1.9,I5593_00130,COORDINATES: similar to AA sequence:RefSeq:YP_004997195.1
CDS_NZ_CP065432.1_32051_33341_pos,I5593_RS00135,WP_000055250.1,,32051,33341,pos,,hypothetical protein,,,I5593_00135,COORDINATES: similar to AA sequence:RefSeq:YP_004997194.1
CDS_NZ_CP065432.1_33443_34151_pos,I5593_RS00140,WP_010590510.1,,33443,34151,pos,,sulfite exporter TauE/SafE family protein,,,I5593_00140,COORDINATES: similar to AA sequence:RefSeq:YP_004997193.1
CDS_NZ_CP065432.1_34159_35050_neg,I5593_RS00145,WP_001209840.1,,34159,35050,neg,,LysR family transcriptional regulator,,,I5593_00145,COORDINATES: similar to AA sequence:RefSeq:YP_004997192.1
CDS_NZ_CP065432.1_35129_36425_neg,I5593_RS00150,WP_000073454.1,,35129,36425,neg,,pyrimidine permease,,,I5593_00150,COORDINATES: similar to AA sequence:RefSeq:YP_004997191.1
CDS_NZ_CP065432.1_36725_39410_neg,I5593_RS00155,WP_000250585.1,ppc,36725,39410,neg,,phosphoenolpyruvate carboxylase,,4.1.1.31,I5593_00155,COORDINATES: similar to AA sequence:RefSeq:YP_004997190.1
CDS_NZ_CP065432.1_39580_40204_neg,I5593_RS00160,WP_001195320.1,,39580,40204,neg,,TetR/AcrR family transcriptional regulator,,,I5593_00160,COORDINATES: similar to AA sequence:RefSeq:YP_004997189.1
CDS_NZ_CP065432.1_40353_41454_pos,I5593_RS00165,WP_001985070.1,,40353,41454,pos,,efflux RND transporter periplasmic adaptor subunit,,,I5593_00165,COORDINATES: similar to AA sequence:RefSeq:WP_001050646.1
CDS_NZ_CP065432.1_41456_44582_pos,I5593_RS00170,WP_000671288.1,,41456,44582,pos,,efflux RND transporter permease subunit,,,I5593_00170,COORDINATES: similar to AA sequence:RefSeq:YP_004997187.1
CDS_NZ_CP065432.1_44721_45099_pos,I5593_RS00175,WP_000529425.1,,44721,45099,pos,,hypothetical protein,,,I5593_00175,COORDINATES: similar to AA sequence:RefSeq:YP_004997186.1
CDS_NZ_CP065432.1_45203_46316_pos,I5593_RS00180,WP_001119029.1,dnaJ,45203,46316,pos,,molecular chaperone DnaJ,,,I5593_00180,COORDINATES: similar to AA sequence:RefSeq:YP_004997185.1
CDS_NZ_CP065432.1_46430_46778_neg,I5593_RS00185,WP_000555687.1,,46430,46778,neg,,hypothetical protein,,,I5593_00185,COORDINATES: similar to AA sequence:RefSeq:YP_004997184.1
CDS_NZ_CP065432.1_46962_47784_pos,I5593_RS00190,WP_001271383.1,dapB,46962,47784,pos,,4-hydroxy-tetrahydrodipicolinate reductase,,1.17.1.8,I5593_00190,COORDINATES: similar to AA sequence:RefSeq:YP_004997183.1
CDS_NZ_CP065432.1_47835_48489_pos,I5593_RS00195,WP_001036017.1,,47835,48489,pos,,START domain-containing protein,,,I5593_00195,COORDINATES: similar to AA sequence:RefSeq:YP_004997182.1
CDS_NZ_CP065432.1_48529_49720_neg,I5593_RS00200,WP_001097146.1,,48529,49720,neg,,MFS transporter,,,I5593_00200,COORDINATES: similar to AA sequence:RefSeq:YP_004997181.1
CDS_NZ_CP065432.1_49724_50528_neg,I5593_RS00205,WP_001025231.1,dkgB,49724,50528,neg,,"2,5-didehydrogluconate reductase DkgB",,1.1.1.346,I5593_00205,COORDINATES: similar to AA sequence:RefSeq:WP_001025219.1
CDS_NZ_CP065432.1_50648_51551_pos,I5593_RS00210,WP_000843079.1,,50648,51551,pos,,LysR family transcriptional regulator,,,I5593_00210,COORDINATES: similar to AA sequence:RefSeq:YP_004997178.1
CDS_NZ_CP065432.1_51534_51909_neg,I5593_RS00215,WP_000770105.1,,51534,51909,neg,,hypothetical protein,,,I5593_00215,COORDINATES: similar to AA sequence:RefSeq:YP_004997177.1
CDS_NZ_CP065432.1_51916_52039_neg,I5593_RS00220,WP_001985074.1,,51916,52039,neg,,hypothetical protein,,,I5593_00220,COORDINATES: similar to AA sequence:RefSeq:YP_004997176.1
CDS_NZ_CP065432.1_51999_53424_pos,I5593_RS00225,WP_000143924.1,,51999,53424,pos,,PLP-dependent aminotransferase family protein,,,I5593_00225,COORDINATES: similar to AA sequence:RefSeq:YP_004997175.1
CDS_NZ_CP065432.1_53426_54455_neg,I5593_RS00230,WP_000069843.1,,53426,54455,neg,,NAD(P)-dependent alcohol dehydrogenase,,,I5593_00230,COORDINATES: similar to AA sequence:RefSeq:YP_004997174.1
CDS_NZ_CP065432.1_54493_55054_neg,I5593_RS00235,WP_000857017.1,,54493,55054,neg,,DNA-3-methyladenine glycosylase I,,,I5593_00235,COORDINATES: similar to AA sequence:RefSeq:YP_004997173.1
CDS_NZ_CP065432.1_55084_55330_neg,I5593_RS00240,WP_001287365.1,,55084,55330,neg,,hypothetical protein,,,I5593_00240,COORDINATES: similar to AA sequence:RefSeq:YP_004997172.1
CDS_NZ_CP065432.1_55339_55876_neg,I5593_RS00245,WP_001252464.1,,55339,55876,neg,,M23 family metallopeptidase,,,I5593_00245,COORDINATES: similar to AA sequence:RefSeq:YP_004997171.1
CDS_NZ_CP065432.1_55923_56958_neg,I5593_RS00250,WP_001113869.1,mutY,55923,56958,neg,,A/G-specific adenine glycosylase,,,I5593_00250,COORDINATES: similar to AA sequence:RefSeq:YP_004997170.1
CDS_NZ_CP065432.1_57098_57461_neg,I5593_RS00255,WP_000130110.1,,57098,57461,neg,,HIT family protein,,,I5593_00255,COORDINATES: similar to AA sequence:RefSeq:YP_004997169.1
CDS_NZ_CP065432.1_57646_58384_neg,I5593_RS00260,WP_000100765.1,,57646,58384,neg,,dienelactone hydrolase family protein,,,I5593_00260,COORDINATES: similar to AA sequence:RefSeq:YP_004997168.1
CDS_NZ_CP065432.1_58555_58714_neg,I5593_RS00265,WP_000490267.1,,58555,58714,neg,,DUF1328 domain-containing protein,,,I5593_00265,COORDINATES: similar to AA sequence:RefSeq:YP_004997167.1
CDS_NZ_CP065432.1_58908_59367_pos,I5593_RS00270,WP_000102818.1,,58908,59367,pos,,YcgN family cysteine cluster protein,,,I5593_00270,COORDINATES: similar to AA sequence:RefSeq:YP_004997166.1
CDS_NZ_CP065432.1_59479_60649_pos,I5593_RS00275,WP_074162152.1,,59479,60649,pos,,PQQ-dependent sugar dehydrogenase,,,I5593_00275,COORDINATES: similar to AA sequence:RefSeq:WP_002009408.1
CDS_NZ_CP065432.1_60754_62020_pos,I5593_RS00280,WP_001285409.1,,60754,62020,pos,,replication-associated recombination protein A,,,I5593_00280,COORDINATES: similar to AA sequence:RefSeq:YP_004997164.1
CDS_NZ_CP065432.1_62035_62875_neg,I5593_RS00285,WP_000349489.1,,62035,62875,neg,,formate/nitrite transporter family protein,,,I5593_00285,COORDINATES: similar to AA sequence:RefSeq:WP_000349488.1
CDS_NZ_CP065432.1_63160_63364_neg,I5593_RS00290,WP_000418560.1,,63160,63364,neg,,hypothetical protein,,,I5593_00290,COORDINATES: similar to AA sequence:RefSeq:WP_000418559.1
CDS_NZ_CP065432.1_63556_64276_neg,I5593_RS00295,WP_000917863.1,purC,63556,64276,neg,,phosphoribosylaminoimidazolesuccinocarboxamide synthase,,6.3.2.6,I5593_00295,COORDINATES: similar to AA sequence:RefSeq:YP_004997161.1
CDS_NZ_CP065432.1_64313_64916_neg,I5593_RS00300,WP_001177091.1,,64313,64916,neg,,hypothetical protein,,,I5593_00300,COORDINATES: similar to AA sequence:RefSeq:YP_004997160.1
CDS_NZ_CP065432.1_64931_65825_neg,I5593_RS00305,WP_000193600.1,,64931,65825,neg,,4-hydroxy-tetrahydrodipicolinate synthase,,4.3.3.7,I5593_00305,COORDINATES: similar to AA sequence:RefSeq:YP_004997159.1
CDS_NZ_CP065432.1_66154_66799_pos,I5593_RS00310,WP_001985076.1,pncA,66154,66799,pos,,bifunctional nicotinamidase/pyrazinamidase,,3.5.1.-,I5593_00310,COORDINATES: similar to AA sequence:RefSeq:WP_006582415.1
CDS_NZ_CP065432.1_66853_67792_pos,I5593_RS00315,WP_001275071.1,,66853,67792,pos,,bile acid:sodium symporter family protein,,,I5593_00315,COORDINATES: similar to AA sequence:RefSeq:YP_004997157.1
CDS_NZ_CP065432.1_67970_69313_pos,I5593_RS00320,,,67970,69313,pos,True,MATE family efflux transporter,,,I5593_00320,COORDINATES: similar to AA sequence:RefSeq:YP_004997156.1
CDS_NZ_CP065432.1_69333_69804_neg,I5593_RS00325,WP_000924626.1,,69333,69804,neg,,DUF523 domain-containing protein,,,I5593_00325,COORDINATES: similar to AA sequence:RefSeq:YP_004997155.1
CDS_NZ_CP065432.1_70326_71382_pos,I5593_RS00330,WP_000353163.1,hppD,70326,71382,pos,,4-hydroxyphenylpyruvate dioxygenase,,1.13.11.27,I5593_00330,COORDINATES: similar to AA sequence:RefSeq:YP_004997154.1
CDS_NZ_CP065432.1_71447_72227_neg,I5593_RS00335,WP_000568800.1,,71447,72227,neg,,IclR family transcriptional regulator,,,I5593_00335,COORDINATES: similar to AA sequence:RefSeq:YP_004997153.1
CDS_NZ_CP065432.1_72526_73075_neg,I5593_RS00340,WP_000141647.1,,72526,73075,neg,,VOC family protein,,,I5593_00340,COORDINATES: similar to AA sequence:RefSeq:WP_004915503.1
CDS_NZ_CP065432.1_73092_73725_neg,I5593_RS00345,WP_000781238.1,maiA,73092,73725,neg,,maleylacetoacetate isomerase,,5.2.1.2,I5593_00345,COORDINATES: similar to AA sequence:RefSeq:YP_004997151.1
CDS_NZ_CP065432.1_73711_75019_neg,I5593_RS00350,WP_000435871.1,fahA,73711,75019,neg,,fumarylacetoacetase,,3.7.1.2,I5593_00350,COORDINATES: similar to AA sequence:RefSeq:YP_004997150.1
CDS_NZ_CP065432.1_75377_76766_pos,I5593_RS00355,WP_000107092.1,,75377,76766,pos,,amino acid permease,,,I5593_00355,COORDINATES: similar to AA sequence:RefSeq:YP_004997149.1
CDS_NZ_CP065432.1_76928_77612_pos,I5593_RS00360,WP_000833239.1,,76928,77612,pos,,hypothetical protein,,,I5593_00360,COORDINATES: similar to AA sequence:RefSeq:WP_020753560.1
CDS_NZ_CP065432.1_77754_79020_pos,I5593_RS00365,WP_000624533.1,,77754,79020,pos,,GTP-binding protein,,,I5593_00365,COORDINATES: similar to AA sequence:RefSeq:YP_004997147.1
CDS_NZ_CP065432.1_79052_80165_neg,I5593_RS00370,WP_001246957.1,,79052,80165,neg,,acyltransferase,,,I5593_00370,COORDINATES: similar to AA sequence:RefSeq:WP_005134484.1
CDS_NZ_CP065432.1_80517_81270_pos,I5593_RS00375,WP_001138319.1,hutC,80517,81270,pos,,histidine utilization repressor,,,I5593_00375,COORDINATES: similar to AA sequence:RefSeq:YP_004997145.1
CDS_NZ_CP065432.1_81266_81842_pos,I5593_RS00380,WP_000593442.1,,81266,81842,pos,,HutD family protein,,,I5593_00380,COORDINATES: similar to AA sequence:RefSeq:WP_002119143.1
CDS_NZ_CP065432.1_82093_83770_pos,I5593_RS00385,WP_000214184.1,hutU,82093,83770,pos,,urocanate hydratase,,4.2.1.49,I5593_00385,COORDINATES: similar to AA sequence:RefSeq:WP_000210410.1
CDS_NZ_CP065432.1_83857_85396_pos,I5593_RS00390,WP_000421600.1,hutH,83857,85396,pos,,histidine ammonia-lyase,,4.3.1.3,I5593_00390,COORDINATES: similar to AA sequence:RefSeq:YP_004997142.1
CDS_NZ_CP065432.1_85460_86873_pos,I5593_RS00395,WP_000081464.1,,85460,86873,pos,,amino acid permease,,,I5593_00395,COORDINATES: similar to AA sequence:RefSeq:YP_004997141.1
CDS_NZ_CP065432.1_86924_88130_pos,I5593_RS00400,WP_000737799.1,,86924,88130,pos,,imidazolonepropionase,,3.5.2.7,I5593_00400,COORDINATES: similar to AA sequence:RefSeq:YP_004997140.1
CDS_NZ_CP065432.1_88140_89061_pos,I5593_RS00405,WP_001016877.1,hutG,88140,89061,pos,,formimidoylglutamase,,3.5.3.8,I5593_00405,COORDINATES: similar to AA sequence:RefSeq:YP_004997139.1
CDS_NZ_CP065432.1_89314_91141_pos,I5593_RS00410,WP_000797602.1,,89314,91141,pos,,DUF885 domain-containing protein,,,I5593_00410,COORDINATES: similar to AA sequence:RefSeq:YP_004997138.1
CDS_NZ_CP065432.1_91245_91884_pos,I5593_RS00415,WP_000415727.1,,91245,91884,pos,,HAD family hydrolase,,,I5593_00415,COORDINATES: similar to AA sequence:RefSeq:YP_004997137.1
CDS_NZ_CP065432.1_91907_92708_pos,I5593_RS00420,WP_001063716.1,murI,91907,92708,pos,,glutamate racemase,,5.1.1.3,I5593_00420,COORDINATES: similar to AA sequence:RefSeq:WP_016653432.1
CDS_NZ_CP065432.1_92793_94632_neg,I5593_RS00425,WP_000334189.1,glmS,92793,94632,neg,,glutamine--fructose-6-phosphate transaminase (isomerizing),,2.6.1.16,I5593_00425,COORDINATES: similar to AA sequence:RefSeq:WP_000334171.1
CDS_NZ_CP065432.1_94644_96009_neg,I5593_RS00430,WP_000108582.1,glmU,94644,96009,neg,,bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU,,2.3.1.157,I5593_00430,COORDINATES: similar to AA sequence:RefSeq:YP_004997132.1
CDS_NZ_CP065432.1_96025_96541_neg,I5593_RS00435,WP_000380673.1,,96025,96541,neg,,phosphatidylglycerophosphatase A,,,I5593_00435,COORDINATES: similar to AA sequence:RefSeq:YP_004997131.1
CDS_NZ_CP065432.1_96518_97436_neg,I5593_RS00440,WP_000807406.1,thiL,96518,97436,neg,,thiamine-phosphate kinase,,2.7.4.16,I5593_00440,COORDINATES: similar to AA sequence:RefSeq:YP_004997130.1
CDS_NZ_CP065432.1_97451_97901_neg,I5593_RS00445,WP_000084188.1,nusB,97451,97901,neg,,transcription antitermination factor NusB,,,I5593_00445,COORDINATES: similar to AA sequence:RefSeq:WP_004878158.1
CDS_NZ_CP065432.1_97904_98375_neg,I5593_RS00450,WP_001007829.1,ribE,97904,98375,neg,,"6,7-dimethyl-8-ribityllumazine synthase",,2.5.1.78,I5593_00450,COORDINATES: similar to AA sequence:RefSeq:YP_004997128.1
CDS_NZ_CP065432.1_98386_99508_neg,I5593_RS00455,WP_001131392.1,,98386,99508,neg,,"bifunctional 3,4-dihydroxy-2-butanone-4-phosphate synthase/GTP cyclohydrolase II",,,I5593_00455,COORDINATES: similar to AA sequence:RefSeq:YP_004997127.1
CDS_NZ_CP065432.1_99747_101055_neg,I5593_RS00460,WP_086247733.1,,99747,101055,neg,,hypothetical protein,,,I5593_00460,COORDINATES: similar to AA sequence:RefSeq:YP_004997126.1
CDS_NZ_CP065432.1_101114_102338_pos,I5593_RS00465,WP_001206799.1,serB,101114,102338,pos,,phosphoserine phosphatase SerB,,3.1.3.3,I5593_00465,COORDINATES: similar to AA sequence:RefSeq:WP_004650828.1
CDS_NZ_CP065432.1_102747_103083_pos,I5593_RS00470,WP_000255593.1,,102747,103083,pos,,hypothetical protein,,,I5593_00470,COORDINATES: similar to AA sequence:RefSeq:YP_004997124.1
CDS_NZ_CP065432.1_103336_103816_pos,I5593_RS00475,WP_000778126.1,,103336,103816,pos,,hypothetical protein,,,I5593_00475,COORDINATES: similar to AA sequence:RefSeq:YP_004997123.1
CDS_NZ_CP065432.1_103855_104299_neg,I5593_RS00480,WP_001202026.1,,103855,104299,neg,,D-tyrosyl-tRNA(Tyr) deacylase,,3.1.1.96,I5593_00480,COORDINATES: similar to AA sequence:RefSeq:YP_004997122.1
CDS_NZ_CP065432.1_104467_105682_pos,I5593_RS00485,WP_000074557.1,pncB,104467,105682,pos,,nicotinate phosphoribosyltransferase,,6.3.4.21,I5593_00485,COORDINATES: similar to AA sequence:RefSeq:WP_005109241.1
CDS_NZ_CP065432.1_105832_106681_pos,I5593_RS00490,WP_000174475.1,,105832,106681,pos,,sulfurtransferase,,,I5593_00490,COORDINATES: similar to AA sequence:RefSeq:YP_004997120.1
CDS_NZ_CP065432.1_106677_107529_pos,I5593_RS00495,WP_000011218.1,psd,106677,107529,pos,,phosphatidylserine decarboxylase,,4.1.1.65,I5593_00495,COORDINATES: similar to AA sequence:RefSeq:YP_004997119.1
CDS_NZ_CP065432.1_107953_109174_pos,I5593_RS00500,WP_000921704.1,,107953,109174,pos,,acetamidase/formamidase family protein,,,I5593_00500,COORDINATES: similar to AA sequence:RefSeq:WP_002057470.1
CDS_NZ_CP065432.1_109200_109959_neg,I5593_RS00505,WP_000043214.1,,109200,109959,neg,,AcfC family putative adhesin,,,I5593_00505,COORDINATES: similar to AA sequence:RefSeq:YP_004997116.1
CDS_NZ_CP065432.1_110254_111397_pos,I5593_RS00510,WP_168083549.1,,110254,111397,pos,,alpha/beta fold hydrolase,,,I5593_00510,COORDINATES: similar to AA sequence:RefSeq:YP_004997115.1
CDS_NZ_CP065432.1_111466_112825_neg,I5593_RS00515,WP_000273191.1,phoR,111466,112825,neg,,phosphate regulon sensor histidine kinase PhoR,,,I5593_00515,COORDINATES: similar to AA sequence:RefSeq:YP_004997114.1
CDS_NZ_CP065432.1_112834_113545_neg,I5593_RS00520,WP_000650776.1,phoB,112834,113545,neg,,phosphate regulon transcriptional regulator PhoB,,,I5593_00520,COORDINATES: similar to AA sequence:RefSeq:YP_004997113.1
CDS_NZ_CP065432.1_113800_114472_neg,I5593_RS00525,WP_000224581.1,,113800,114472,neg,,TetR/AcrR family transcriptional regulator,,,I5593_00525,COORDINATES: similar to AA sequence:RefSeq:YP_004997112.1
CDS_NZ_CP065432.1_114668_115502_pos,I5593_RS00530,WP_000787753.1,,114668,115502,pos,,SDR family NAD(P)-dependent oxidoreductase,,,I5593_00530,COORDINATES: similar to AA sequence:RefSeq:YP_004997111.1
CDS_NZ_CP065432.1_115557_116925_neg,I5593_RS00535,WP_001135125.1,,115557,116925,neg,,MATE family efflux transporter,,,I5593_00535,COORDINATES: similar to AA sequence:RefSeq:WP_005122296.1
CDS_NZ_CP065432.1_117031_118186_neg,I5593_RS00540,WP_000939856.1,,117031,118186,neg,,pyridoxal phosphate-dependent aminotransferase,,,I5593_00540,COORDINATES: similar to AA sequence:RefSeq:WP_000939852.1
CDS_NZ_CP065432.1_118213_119524_neg,I5593_RS00545,WP_001055481.1,,118213,119524,neg,,DUF445 domain-containing protein,,,I5593_00545,COORDINATES: similar to AA sequence:RefSeq:YP_004997108.1
CDS_NZ_CP065432.1_119537_120101_neg,I5593_RS00550,WP_000876371.1,,119537,120101,neg,,hypothetical protein,,,I5593_00550,COORDINATES: similar to AA sequence:RefSeq:YP_004997107.1
CDS_NZ_CP065432.1_120160_120700_neg,I5593_RS00555,WP_000999587.1,,120160,120700,neg,,DUF924 domain-containing protein,,,I5593_00555,COORDINATES: similar to AA sequence:RefSeq:YP_004997106.1
CDS_NZ_CP065432.1_120868_122446_pos,I5593_RS00560,WP_000082281.1,,120868,122446,pos,,glutamate--cysteine ligase,,6.3.2.2,I5593_00560,COORDINATES: similar to AA sequence:RefSeq:WP_004711431.1
CDS_NZ_CP065432.1_122460_122976_pos,I5593_RS00565,WP_001240041.1,,122460,122976,pos,,disulfide bond formation protein B,,,I5593_00565,COORDINATES: similar to AA sequence:RefSeq:WP_009503949.1
CDS_NZ_CP065432.1_123141_126456_pos,I5593_RS00570,WP_000898349.1,,123141,126456,pos,,type VI secretion system tip protein VgrG,,,I5593_00570,COORDINATES: similar to AA sequence:RefSeq:WP_000898349.1
CDS_NZ_CP065432.1_126448_127012_pos,I5593_RS00575,WP_002040406.1,,126448,127012,pos,,hypothetical protein,,,I5593_00575,COORDINATES: similar to AA sequence:RefSeq:WP_002040406.1
CDS_NZ_CP065432.1_127011_128958_pos,I5593_RS00580,WP_000502517.1,,127011,128958,pos,,LysM peptidoglycan-binding domain-containing protein,,,I5593_00580,COORDINATES: similar to AA sequence:RefSeq:WP_003654145.1
CDS_NZ_CP065432.1_128954_129680_pos,I5593_RS00585,WP_000744395.1,,128954,129680,pos,,SH3 domain-containing protein,,,I5593_00585,COORDINATES: similar to AA sequence:RefSeq:WP_003654143.1
CDS_NZ_CP065432.1_129744_131088_neg,I5593_RS00590,WP_001139637.1,,129744,131088,neg,,hypothetical protein,,,I5593_00590,COORDINATES: similar to AA sequence:RefSeq:YP_004997097.1
CDS_NZ_CP065432.1_131298_131880_pos,I5593_RS00595,WP_001021728.1,,131298,131880,pos,,esterase,,,I5593_00595,COORDINATES: similar to AA sequence:RefSeq:WP_019767366.1
CDS_NZ_CP065432.1_131894_133778_pos,I5593_RS00600,WP_000195974.1,parE,131894,133778,pos,,DNA topoisomerase IV subunit B,,5.6.2.2,I5593_00600,COORDINATES: similar to AA sequence:RefSeq:YP_004997095.1
CDS_NZ_CP065432.1_134236_135031_pos,I5593_RS00605,WP_000365662.1,,134236,135031,pos,,SDR family oxidoreductase,,,I5593_00605,COORDINATES: similar to AA sequence:RefSeq:WP_016142733.1
CDS_NZ_CP065432.1_135134_135638_neg,I5593_RS00610,WP_000605517.1,,135134,135638,neg,,ureidoglycolate lyase,,4.3.2.3,I5593_00610,COORDINATES: similar to AA sequence:RefSeq:WP_009517946.1
CDS_NZ_CP065432.1_135634_136645_neg,I5593_RS00615,WP_000212408.1,,135634,136645,neg,,allantoicase,,3.5.3.4,I5593_00615,COORDINATES: similar to AA sequence:RefSeq:YP_004997093.1
CDS_NZ_CP065432.1_136844_138002_pos,I5593_RS00620,WP_001103527.1,hpxO,136844,138002,pos,,FAD-dependent urate hydroxylase HpxO,,,I5593_00620,COORDINATES: similar to AA sequence:RefSeq:YP_004997092.1
CDS_NZ_CP065432.1_138055_138781_neg,I5593_RS00625,WP_001176270.1,,138055,138781,neg,,ion channel protein Tsx,,,I5593_00625,COORDINATES: similar to AA sequence:RefSeq:YP_004997091.1
CDS_NZ_CP065432.1_138902_140270_neg,I5593_RS00630,WP_001016445.1,,138902,140270,neg,,purine permease,,,I5593_00630,COORDINATES: similar to AA sequence:RefSeq:YP_004997090.1
CDS_NZ_CP065432.1_140294_140618_neg,I5593_RS00635,WP_000626018.1,uraH,140294,140618,neg,,hydroxyisourate hydrolase,,3.5.2.17,I5593_00635,COORDINATES: similar to AA sequence:RefSeq:YP_004997089.1
CDS_NZ_CP065432.1_140614_141118_neg,I5593_RS00640,WP_000477679.1,uraD,140614,141118,neg,,2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase,,4.1.1.97,I5593_00640,COORDINATES: similar to AA sequence:RefSeq:YP_004997088.1
CDS_NZ_CP065432.1_141217_142183_neg,I5593_RS00645,WP_000004720.1,puuE,141217,142183,neg,,allantoinase PuuE,,,I5593_00645,COORDINATES: similar to AA sequence:RefSeq:WP_004644124.1
CDS_NZ_CP065432.1_142435_142786_pos,I5593_RS00650,WP_001019316.1,,142435,142786,pos,,HPF/RaiA family ribosome-associated protein,,,I5593_00650,COORDINATES: similar to AA sequence:RefSeq:WP_016139845.1
CDS_NZ_CP065432.1_142944_143490_pos,I5593_RS00655,WP_000958427.1,,142944,143490,pos,,ankyrin repeat domain-containing protein,,,I5593_00655,COORDINATES: similar to AA sequence:RefSeq:YP_004997085.1
