,locus_tag,protein_id,gene,start,end,strand,pseudo,product,db_xref,EC_number,old_locus_tag,inference
CDS_AP022509.1_31245_31335_neg,STN0717ENT60_00300,BBW29107.1,,31245,31335,neg,,hypothetical protein,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_32061_32775_pos,STN0717ENT60_00310,BBW29108.1,,32061,32775,pos,,hypothetical protein,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_32767_32950_pos,STN0717ENT60_00320,BBW29109.1,,32767,32950,pos,,hypothetical protein,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_32970_33450_pos,STN0717ENT60_00330,BBW29110.1,,32970,33450,pos,,hemolysin-coregulated protein,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_33762_35451_pos,STN0717ENT60_00340,BBW29111.1,,33762,35451,pos,,acetolactate synthase,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_35454_35742_pos,STN0717ENT60_00350,BBW29112.1,,35454,35742,pos,,acetolactate synthase isozyme 1 small subunit,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_35867_36461_pos,STN0717ENT60_00360,BBW29113.1,,35867,36461,pos,,DNA-binding response regulator,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_36457_37963_pos,STN0717ENT60_00370,BBW29114.1,,36457,37963,pos,,two-component system sensor histidine kinase UhpB,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_37955_39266_pos,STN0717ENT60_00380,BBW29115.1,,37955,39266,pos,,regulatory protein UhpC,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_39398_40790_pos,STN0717ENT60_00390,BBW29116.1,,39398,40790,pos,,hexose phosphate transporter,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_41732_41954_pos,STN0717ENT60_00400,BBW29117.1,,41732,41954,pos,,hypothetical protein,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_42114_42969_neg,STN0717ENT60_00410,BBW29118.1,,42114,42969,neg,,HNH endonuclease,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_42969_43245_neg,STN0717ENT60_00420,BBW29119.1,,42969,43245,neg,,hypothetical protein,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_44172_44448_pos,STN0717ENT60_00430,BBW29120.1,insA3,44172,44448,pos,,insertion element IS1 3 protein InsA,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_44492_44870_pos,STN0717ENT60_00440,BBW29121.1,,44492,44870,pos,,hypothetical protein,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_45096_45234_pos,STN0717ENT60_00450,BBW29122.1,,45096,45234,pos,,hypothetical protein,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_46784_47249_pos,STN0717ENT60_00460,BBW29123.1,,46784,47249,pos,,hypothetical protein,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_47438_48443_pos,STN0717ENT60_00470,BBW29124.1,,47438,48443,pos,,alpha/beta hydrolase,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_48430_49333_neg,STN0717ENT60_00480,BBW29125.1,,48430,49333,neg,,transcriptional regulator,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_49432_49885_pos,STN0717ENT60_00490,BBW29126.1,,49432,49885,pos,,hypothetical protein,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_49982_50501_pos,STN0717ENT60_00500,BBW29127.1,,49982,50501,pos,,polyketide cyclase,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_50629_51820_pos,STN0717ENT60_00510,BBW29128.1,nepI,50629,51820,pos,,purine ribonucleoside efflux pump NepI,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_51868_52774_neg,STN0717ENT60_00520,BBW29129.1,,51868,52774,neg,,membrane protein,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_52934_54314_neg,STN0717ENT60_00530,BBW29130.1,,52934,54314,neg,,maltoporin,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_54450_54756_neg,STN0717ENT60_00540,BBW29131.1,,54450,54756,neg,,molecular chaperone TorD,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_54758_56135_neg,STN0717ENT60_00550,BBW29132.1,,54758,56135,neg,,6-phospho-beta-glucosidase,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_56152_57478_neg,STN0717ENT60_00560,BBW29133.1,,56152,57478,neg,,permease IIC component,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_57489_57804_neg,STN0717ENT60_00570,BBW29134.1,,57489,57804,neg,,PTS sugar transporter subunit IIB,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_58097_59048_pos,STN0717ENT60_00580,BBW29135.1,,58097,59048,pos,,LacI family transcriptional regulator,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_59096_59393_neg,STN0717ENT60_00590,BBW29136.1,,59096,59393,neg,,hypothetical protein,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_59475_60633_neg,STN0717ENT60_00600,BBW29137.1,,59475,60633,neg,,Bcr/CflA family drug resistance efflux transporter,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_60682_62047_neg,STN0717ENT60_00610,BBW29138.1,eefC,60682,62047,neg,,multidrug transporter,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_62046_65157_neg,STN0717ENT60_00620,BBW29139.1,eefB,62046,65157,neg,,multidrug efflux RND transporter permease subunit,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_65156_66278_neg,STN0717ENT60_00630,BBW29140.1,eefA,65156,66278,neg,,MexE family multidrug efflux RND transporter periplasmic adaptor subunit,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_66425_66995_neg,STN0717ENT60_00640,BBW29141.1,,66425,66995,neg,,TetR family transcriptional regulator,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_67180_67600_pos,STN0717ENT60_00650,BBW29142.1,,67180,67600,pos,,blasticidin S-acetyltransferase,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_67596_68244_neg,STN0717ENT60_00660,BBW29143.1,,67596,68244,neg,,TetR family transcriptional regulator,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_68337_69822_pos,STN0717ENT60_00670,BBW29144.1,,68337,69822,pos,,EmrB/QacA family drug resistance transporter,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_70051_70852_pos,STN0717ENT60_00680,BBW29145.1,,70051,70852,pos,,lipoprotein,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_70885_71566_neg,STN0717ENT60_00690,BBW29146.1,,70885,71566,neg,,EAL domain-containing protein,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_71641_72262_neg,STN0717ENT60_00700,BBW29147.1,,71641,72262,neg,,LuxR family transcriptional regulator,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_72832_73468_pos,STN0717ENT60_00710,BBW29148.1,,72832,73468,pos,,helix-turn-helix transcriptional regulator,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_73474_74539_neg,STN0717ENT60_00720,BBW29149.1,,73474,74539,neg,,hypothetical protein,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_74554_77047_neg,STN0717ENT60_00730,BBW29150.1,,74554,77047,neg,,usher protein FimD,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_77062_77755_neg,STN0717ENT60_00740,BBW29151.1,,77062,77755,neg,,pilus assembly protein,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_77807_78392_neg,STN0717ENT60_00750,BBW29152.1,,77807,78392,neg,,fimbrial protein,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_78766_79579_pos,STN0717ENT60_00760,BBW29153.1,,78766,79579,pos,,transcriptional regulator,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_79597_80068_pos,STN0717ENT60_00770,BBW29154.1,,79597,80068,pos,,hypothetical protein,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_80295_80919_pos,STN0717ENT60_00780,BBW29155.1,,80295,80919,pos,,hypothetical protein,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_80964_81642_pos,STN0717ENT60_00790,BBW29156.1,,80964,81642,pos,,hypothetical protein,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_81651_84243_pos,STN0717ENT60_00800,BBW29157.1,,81651,84243,pos,,hypothetical protein,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_84220_85819_pos,STN0717ENT60_00810,BBW29158.1,,84220,85819,pos,,hypothetical protein,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_85825_86479_pos,STN0717ENT60_00820,BBW29159.1,,85825,86479,pos,,hypothetical protein,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_86552_86735_pos,STN0717ENT60_00830,BBW29160.1,,86552,86735,pos,,hypothetical protein,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_86758_86944_pos,STN0717ENT60_00840,BBW29161.1,,86758,86944,pos,,hypothetical protein,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_87011_89108_pos,STN0717ENT60_00850,BBW29162.1,,87011,89108,pos,,hypothetical protein,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_89104_89854_pos,STN0717ENT60_00860,BBW29163.1,,89104,89854,pos,,hypothetical protein,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_89860_91111_pos,STN0717ENT60_00870,BBW29164.1,,89860,91111,pos,,hypothetical protein,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_91662_91914_pos,STN0717ENT60_00880,BBW29165.1,yefM,91662,91914,pos,,antitoxin YefM,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_91910_92165_pos,STN0717ENT60_00890,BBW29166.1,yoeB,91910,92165,pos,,toxin YoeB,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_92240_92558_pos,STN0717ENT60_00900,BBW29167.1,,92240,92558,pos,,hypothetical protein,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_92582_92681_neg,STN0717ENT60_00910,BBW29168.1,,92582,92681,neg,,hypothetical protein,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_92903_93992_neg,STN0717ENT60_00920,BBW29169.1,,92903,93992,neg,,hypothetical protein,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_94138_94579_neg,STN0717ENT60_00930,BBW29170.1,,94138,94579,neg,,hypothetical protein,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_94682_95099_neg,STN0717ENT60_00940,BBW29171.1,,94682,95099,neg,,hypothetical protein,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_95201_95612_neg,STN0717ENT60_00950,BBW29172.1,,95201,95612,neg,,5-hydroxyisourate hydrolase,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_95711_96437_neg,STN0717ENT60_00960,BBW29173.1,,95711,96437,neg,,helix-turn-helix-type transcriptional regulator,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_96554_97079_pos,STN0717ENT60_00970,BBW29174.1,blc,96554,97079,pos,,membrane protein,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_97080_98088_neg,STN0717ENT60_00980,BBW29175.1,,97080,98088,neg,,oxidoreductase,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_98087_98606_neg,STN0717ENT60_00990,BBW29176.1,,98087,98606,neg,,oxidoreductase,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_98596_101122_neg,STN0717ENT60_01000,BBW29177.1,,98596,101122,neg,,pilus assembly protein PapC,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_101145_101823_neg,STN0717ENT60_01010,BBW29178.1,,101145,101823,neg,,pilus assembly protein PapD,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_101876_102461_neg,STN0717ENT60_01020,BBW29179.1,,101876,102461,neg,,fimbrial protein,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_102513_103116_neg,STN0717ENT60_01030,BBW29180.1,,102513,103116,neg,,transcriptional regulator,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_103950_104739_pos,STN0717ENT60_01040,BBW29181.1,,103950,104739,pos,,transcriptional regulator,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_104740_105220_pos,STN0717ENT60_01050,BBW29182.1,,104740,105220,pos,,hypothetical protein,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_105354_106344_pos,STN0717ENT60_01060,BBW29183.1,,105354,106344,pos,,AraC family transcriptional regulator,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_106391_106835_pos,STN0717ENT60_01070,BBW29184.1,,106391,106835,pos,,GCN5 family N-acetyltransferase,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_106867_107455_neg,STN0717ENT60_01080,BBW29185.1,,106867,107455,neg,,hypothetical protein,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_107451_107817_neg,STN0717ENT60_01090,BBW29186.1,,107451,107817,neg,,hypothetical protein,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_107826_108312_neg,STN0717ENT60_01100,BBW29187.1,hcp/tssD,107826,108312,neg,,"type VI secretion system protein, Hcp family",,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_108575_109604_neg,STN0717ENT60_01110,BBW29188.1,,108575,109604,neg,,DNA-binding protein,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_109662_110004_neg,STN0717ENT60_01120,BBW29189.1,,109662,110004,neg,,hypothetical protein,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_110129_110321_pos,STN0717ENT60_01130,BBW29190.1,,110129,110321,pos,,hypothetical protein,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_110344_111151_pos,STN0717ENT60_01140,BBW29191.1,,110344,111151,pos,,hypothetical protein,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_111537_112929_pos,STN0717ENT60_01150,BBW29192.1,,111537,112929,pos,,sugar transporter,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_112941_115260_pos,STN0717ENT60_01160,BBW29193.1,,112941,115260,pos,,alpha-xylosidase,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_115344_117039_neg,STN0717ENT60_01170,BBW29194.1,,115344,117039,neg,,hypothetical protein,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_117157_118549_neg,STN0717ENT60_01180,BBW29195.1,,117157,118549,neg,,xanthine permease,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_118774_119977_pos,STN0717ENT60_01190,BBW29196.1,,118774,119977,pos,,sodium/glutamate symporter,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_119980_122062_neg,STN0717ENT60_01200,BBW29197.1,recG,119980,122062,neg,,ATP-dependent DNA helicase RecG,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_122065_122722_neg,STN0717ENT60_01210,BBW29198.1,trmH,122065,122722,neg,,tRNA (guanosine(18)-2'-O)-methyltransferase,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_122759_124874_neg,STN0717ENT60_01220,BBW29199.1,,122759,124874,neg,,"bifunctional GTP diphosphokinase/guanosine-3',5'-bis(diphosphate) 3'-diphosphatase",,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_124893_125169_neg,STN0717ENT60_01230,BBW29200.1,rpoZ,124893,125169,neg,,DNA-directed RNA polymerase subunit omega,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_125223_125847_neg,STN0717ENT60_01240,BBW29201.1,gmk,125223,125847,neg,,guanylate kinase,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_126097_127768_pos,STN0717ENT60_01250,BBW29202.1,ligB,126097,127768,pos,,DNA ligase B,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_128472_128769_pos,STN0717ENT60_01260,BBW29203.1,,128472,128769,pos,,hypothetical protein,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_128884_129529_pos,STN0717ENT60_01270,BBW29204.1,gfcB,128884,129529,pos,,putative lipoprotein GfcB,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_129525_130263_pos,STN0717ENT60_01280,BBW29205.1,,129525,130263,pos,,hypothetical protein,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_130262_132356_pos,STN0717ENT60_01290,BBW29206.1,,130262,132356,pos,,membrane protein,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_132399_133533_pos,STN0717ENT60_01300,BBW29207.1,,132399,133533,pos,,O-antigen capsule outer membrane auxiliary protein export channel,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_133520_133964_pos,STN0717ENT60_01310,BBW29208.1,etp,133520,133964,pos,,protein-tyrosine-phosphatase,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_133986_136164_pos,STN0717ENT60_01320,BBW29209.1,etk,133986,136164,pos,,tyrosine-protein kinase etk,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_136190_136808_neg,STN0717ENT60_01330,BBW29210.1,,136190,136808,neg,,membrane protein,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_137016_137880_neg,STN0717ENT60_01340,BBW29211.1,,137016,137880,neg,,hypothetical protein,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_138005_138722_pos,STN0717ENT60_01350,BBW29212.1,rph,138005,138722,pos,,ribonuclease PH,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_138788_139430_pos,STN0717ENT60_01360,BBW29213.1,pyrE,138788,139430,pos,,orotate phosphoribosyltransferase,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_139512_140109_neg,STN0717ENT60_01370,BBW29214.1,slmA,139512,140109,neg,,nucleoid occlusion factor SlmA,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_140230_140689_neg,STN0717ENT60_01380,BBW29215.1,dut,140230,140689,neg,,deoxyuridine 5'-triphosphate nucleotidohydrolase,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_140666_141881_neg,STN0717ENT60_01390,BBW29216.1,,140666,141881,neg,,phosphopantothenoylcysteine decarboxylase,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_142051_142717_pos,STN0717ENT60_01400,BBW29217.1,radC,142051,142717,pos,,UPF0758 protein,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_142934_143171_pos,STN0717ENT60_01410,BBW29218.1,rpmB,142934,143171,pos,,50S ribosomal protein L28,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_143193_143361_pos,STN0717ENT60_01420,BBW29219.1,rpmG,143193,143361,pos,,50S ribosomal protein L33,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_143433_144243_pos,STN0717ENT60_01430,BBW29220.1,mutM,143433,144243,pos,,formamidopyrimidine-DNA glycosylase,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_144245_144725_neg,STN0717ENT60_01440,BBW29221.1,coaD,144245,144725,neg,,phosphopantetheine adenylyltransferase,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_144728_145499_neg,STN0717ENT60_01450,BBW29222.1,,144728,145499,neg,,LPS biosynthesis protein,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_145498_146773_neg,STN0717ENT60_01460,BBW29223.1,,145498,146773,neg,,3-deoxy-D-manno-octulosonic acid transferase,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_146839_147829_neg,STN0717ENT60_01470,BBW29224.1,,146839,147829,neg,,glycosyltransferase,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_147840_148941_neg,STN0717ENT60_01480,BBW29225.1,,147840,148941,neg,,glycosyl transferase,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
