,rec_id,locus_tag,protein_id,gene,start,end,strand,pseudo,product,db_xref,EC_number,old_locus_tag,inference,dup_id
CDS_CP065454.1_6688_7549_pos,CP065454.1,I5M60_26570,QPP62342.1,,6688,7549,pos,,inhibitor-resistant class A broad-spectrum beta-lactamase TEM-31,,,,COORDINATES: similar to AA sequence:RefSeq:WP_032489893.1,51
CDS_CP065453.1_4444518_4445577_pos,CP065453.1,I5M60_21765,QPP58751.1,,4444518,4445577,pos,,"phage major capsid protein, P2 family",,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226022.1,123
CDS_CP065453.1_926850_926955_pos,CP065453.1,I5M60_04650,QPP62139.1,,926850,926955,pos,,transposase,,,,COORDINATES: protein motif:HMM:NF025063.1,117
CDS_CP065453.1_4329300_4330224_neg,CP065453.1,I5M60_21245,QPP58654.1,,4329300,4330224,neg,,acyltransferase family protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005225915.1,45
CDS_CP065453.1_1481307_1483938_neg,CP065453.1,I5M60_07275,QPP60944.1,,1481307,1483938,neg,,phage tail tape measure protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004134619.1,7
CDS_CP065453.1_1870558_1872076_neg,CP065453.1,I5M60_09235,QPP61312.1,lysS,1870558,1872076,neg,,lysine--tRNA ligase,,6.1.1.6,,COORDINATES: similar to AA sequence:RefSeq:WP_001740376.1,14
CDS_CP065453.1_4561945_4563346_neg,CP065453.1,I5M60_22305,QPP58854.1,asnS,4561945,4563346,neg,,asparagine--tRNA ligase,,6.1.1.22,,COORDINATES: similar to AA sequence:RefSeq:WP_005123540.1,16
CDS_CP065454.1_20326_21031_neg,CP065454.1,I5M60_26650,QPP62356.1,,20326,21031,neg,,IS6-like element IS26 family transposase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005221000.1,58
CDS_CP065453.1_4448611_4449043_pos,CP065453.1,I5M60_21810,QPP58760.1,,4448611,4449043,pos,,phage tail protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226031.1,1
CDS_CP065453.1_4522773_4523391_pos,CP065453.1,I5M60_22155,QPP58825.1,dmsB,4522773,4523391,pos,,dimethylsulfoxide reductase subunit B,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226106.1,61
CDS_CP065453.1_3003767_3004952_pos,CP065453.1,I5M60_14875,QPP57495.1,tuf,3003767,3004952,pos,,elongation factor Tu,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005224494.1,30
CDS_CP065453.1_1954433_1955723_neg,CP065453.1,I5M60_09660,QPP61390.1,,1954433,1955723,neg,,TraI domain-containing protein,,,,"COORDINATES: protein motif:HMM:NF019154.1,HMM:TIGR03760.1",23
CDS_CP065453.1_812911_814135_neg,CP065453.1,I5M60_04160,QPP60370.1,,812911,814135,neg,,GTP-binding protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000005768.1,27
CDS_CP065453.1_5036569_5037100_pos,CP065453.1,I5M60_24835,QPP59308.1,tli1,5036569,5037100,pos,,T6SS immunity phospholipase A1-binding lipoprotein Tli1-KP,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226608.1,76
CDS_CP065453.1_3370463_3370709_neg,CP065453.1,I5M60_16590,QPP57810.1,,3370463,3370709,neg,,ogr/Delta-like zinc finger family protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005224847.1,101
CDS_CP065453.1_1348622_1348961_neg,CP065453.1,I5M60_06595,QPP60817.1,,1348622,1348961,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004197323.1,124
CDS_CP065453.1_4454902_4455637_pos,CP065453.1,I5M60_21850,QPP62285.1,,4454902,4455637,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_019724930.1,121
CDS_CP065453.1_4435842_4437330_pos,CP065453.1,I5M60_21725,QPP58744.1,ltrA,4435842,4437330,pos,,group II intron reverse transcriptase/maturase,,2.7.7.49,,COORDINATES: similar to AA sequence:RefSeq:YP_005226014.1,13
CDS_CP065453.1_896775_898263_neg,CP065453.1,I5M60_04515,QPP60433.1,ltrA,896775,898263,neg,,group II intron reverse transcriptase/maturase,,2.7.7.49,,COORDINATES: similar to AA sequence:RefSeq:YP_005226014.1,13
CDS_CP065453.1_560594_561488_neg,CP065453.1,I5M60_02850,QPP60144.1,,560594,561488,neg,,SUMF1/EgtB/PvdO family nonheme iron enzyme,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005227563.1,54
CDS_CP065454.1_120881_121757_pos,CP065454.1,I5M60_27220,QPP62463.1,,120881,121757,pos,,class A extended-spectrum beta-lactamase CTX-M-14,,,,COORDINATES: similar to AA sequence:RefSeq:WP_032492044.1,49
CDS_CP065453.1_914822_915422_pos,CP065453.1,I5M60_04600,QPP60447.1,,914822,915422,pos,,bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP diphosphatase HisIE,,3.5.4.19,,COORDINATES: similar to AA sequence:RefSeq:YP_005227843.1,63
CDS_CP065453.1_1496622_1497087_neg,CP065453.1,I5M60_07380,QPP60963.1,,1496622,1497087,neg,,head completion/stabilization protein,,,,COORDINATES: similar to AA sequence:RefSeq:NP_461646.1,84
CDS_CP065454.1_172808_172937_neg,CP065454.1,I5M60_27545,QPP62524.1,,172808,172937,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005220998.1,115
CDS_CP065453.1_1496419_1496623_neg,CP065453.1,I5M60_07375,QPP60962.1,,1496419,1496623,neg,,tail protein X,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226025.1,106
CDS_CP065453.1_800602_801514_pos,CP065453.1,I5M60_04095,QPP60359.1,,800602,801514,pos,,metal ABC transporter substrate-binding protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000939730.1,43
CDS_CP065454.1_2062_2287_pos,CP065454.1,I5M60_26550,QPP62339.1,,2062,2287,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000743213.1,103
CDS_CP065453.1_1494764_1494923_neg,CP065453.1,I5M60_07350,QPP62157.1,,1494764,1494923,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226030.1,127
CDS_CP065455.1_2576_5543_pos,CP065455.1,I5M60_27590,QPP62535.1,,2576,5543,pos,,Tn3-like element TnAs1 family transposase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_001138014.1,4
CDS_CP065453.1_3373035_3373356_pos,CP065453.1,I5M60_16615,QPP57815.1,,3373035,3373356,pos,,DUF5375 domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005224852.1,93
CDS_CP065455.1_70481_71078_neg,CP065455.1,I5M60_28010,QPP62603.1,,70481,71078,neg,,TraX-like protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004187488.1,65
CDS_CP065453.1_4974583_4974721_neg,CP065453.1,I5M60_24435,QPP62337.1,,4974583,4974721,neg,,hypothetical protein,,,,COORDINATES: ab initio prediction:GeneMarkS-2+,114
CDS_CP065453.1_5358453_5358693_neg,CP065453.1,I5M60_26420,QPP59612.1,,5358453,5358693,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226948.1,100
CDS_CP065453.1_767958_768120_pos,CP065453.1,I5M60_03930,QPP60331.1,,767958,768120,pos,,hypothetical protein,,,,COORDINATES: ab initio prediction:GeneMarkS-2+,110
CDS_CP065453.1_846163_848185_pos,CP065453.1,I5M60_04245,QPP60385.1,fyuA,846163,848185,pos,,siderophore yersiniabactin receptor FyuA,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005227771.1,9
CDS_CP065453.1_5379251_5380514_neg,CP065453.1,I5M60_26525,QPP59626.1,,5379251,5380514,neg,,IS1380-like element ISEc9 family transposase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_031587700.1,25
CDS_CP065453.1_5037766_5038297_pos,CP065453.1,I5M60_24845,QPP59310.1,tli1,5037766,5038297,pos,,T6SS immunity phospholipase A1-binding lipoprotein Tli1-KP,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226609.1,76
CDS_CP065454.1_8554_9103_neg,CP065454.1,I5M60_26580,QPP62344.1,,8554,9103,neg,,cation:proton antiporter,,,,COORDINATES: similar to AA sequence:RefSeq:WP_008696606.1,77
CDS_CP065453.1_4621097_4621436_pos,CP065453.1,I5M60_22615,QPP58908.1,,4621097,4621436,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004199485.1,124
CDS_CP065453.1_5218385_5219003_neg,CP065453.1,I5M60_25680,QPP59470.1,dmsB,5218385,5219003,neg,,dimethylsulfoxide reductase subunit B,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226791.1,61
CDS_CP065453.1_4457816_4458989_pos,CP065453.1,I5M60_21870,QPP58770.1,,4457816,4458989,pos,,phage tail sheath protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226043.1,31
CDS_CP065453.1_3848875_3849121_pos,CP065453.1,I5M60_18860,QPP58217.1,,3848875,3849121,pos,,ogr/Delta-like zinc finger family protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005225309.1,101
CDS_CP065453.1_3072012_3072393_neg,CP065453.1,I5M60_15165,QPP57546.1,,3072012,3072393,neg,,reactive intermediate/imine deaminase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005224550.1,86
CDS_CP065453.1_817899_819162_pos,CP065453.1,I5M60_04190,QPP60374.1,,817899,819162,pos,,tyrosine-type recombinase/integrase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005227760.1,122
CDS_CP065453.1_4258420_4258753_pos,CP065453.1,I5M60_20840,QPP58587.1,,4258420,4258753,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005225837.1,88
CDS_CP065453.1_4674396_4674570_pos,CP065453.1,I5M60_22915,QPP58956.1,,4674396,4674570,pos,,general stress protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005227107.1,111
CDS_CP065453.1_2675221_2678329_pos,CP065453.1,I5M60_13300,QPP62073.1,eefB,2675221,2678329,pos,,multidrug efflux RND transporter permease subunit EefB,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229509.1,3
CDS_CP065453.1_3843893_3846227_neg,CP065453.1,I5M60_18830,QPP58211.1,,3843893,3846227,neg,,toprim domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005225302.1,6
CDS_CP065453.1_5015082_5015280_pos,CP065453.1,I5M60_24740,QPP59292.1,,5015082,5015280,pos,,hypothetical protein,,,,COORDINATES: ab initio prediction:GeneMarkS-2+,107
CDS_CP065453.1_1003090_1004374_pos,CP065453.1,I5M60_04945,QPP60511.1,,1003090,1004374,pos,,MFS transporter,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005227908.1,125
CDS_CP065453.1_4467536_4467824_pos,CP065453.1,I5M60_21925,QPP58781.1,,4467536,4467824,pos,,YbjC family protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_012133107.1,96
CDS_CP065453.1_1999537_2000866_neg,CP065453.1,I5M60_09925,QPP61438.1,,1999537,2000866,neg,,WG repeat-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228825.1,22
CDS_CP065453.1_4088253_4089771_pos,CP065453.1,I5M60_20050,QPP58446.1,lysS,4088253,4089771,pos,,lysine--tRNA ligase,,6.1.1.6,,COORDINATES: similar to AA sequence:RefSeq:WP_001740376.1,14
CDS_CP065453.1_4441759_4443526_neg,CP065453.1,I5M60_21755,QPP58749.1,,4441759,4443526,neg,,terminase ATPase subunit family protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226020.1,118
CDS_CP065453.1_102911_103877_neg,CP065453.1,I5M60_00540,QPP59726.1,,102911,103877,neg,,alpha/beta hydrolase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020802118.1,38
CDS_CP065453.1_5290021_5290468_pos,CP065453.1,I5M60_26065,QPP59544.1,,5290021,5290468,pos,,GNAT family N-acetyltransferase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226871.1,82
CDS_CP065453.1_4450834_4451197_pos,CP065453.1,I5M60_21830,QPP58764.1,,4450834,4451197,pos,,GPW/gp25 family protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226036.1,89
CDS_CP065453.1_3849138_3849705_pos,CP065453.1,I5M60_18865,QPP58218.1,,3849138,3849705,pos,,Polarity suppression protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005225310.1,71
CDS_CP065453.1_60064_60997_neg,CP065453.1,I5M60_00340,QPP59689.1,puuE,60064,60997,neg,,allantoinase PuuE,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004202535.1,40
CDS_CP065453.1_802706_803516_pos,CP065453.1,I5M60_04110,QPP60361.1,,802706,803516,pos,,DUF1460 domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000709111.1,53
CDS_CP065453.1_1494897_1495326_neg,CP065453.1,I5M60_07355,QPP60959.1,,1494897,1495326,neg,,LysB family phage lysis regulatory protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226029.1,87
CDS_CP065453.1_4726460_4726712_neg,CP065453.1,I5M60_23185,QPP59003.1,,4726460,4726712,neg,,hypothetical protein,,,,COORDINATES: protein motif:HMM:NF023533.1,102
CDS_CP065453.1_24815_25394_pos,CP065453.1,I5M60_00150,QPP59655.1,,24815,25394,pos,,TetR/AcrR family transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005227000.1,66
CDS_CP065453.1_2527023_2528387_neg,CP065453.1,I5M60_12580,QPP61937.1,,2527023,2528387,neg,,IS3-like element ISKpn1 family transposase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_076611151.1,19
CDS_CP065453.1_2695878_2697258_pos,CP065453.1,I5M60_13390,QPP57230.1,,2695878,2697258,pos,,carbohydrate porin,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229527.1,18
CDS_CP065453.1_3369879_3370446_neg,CP065453.1,I5M60_16585,QPP57809.1,,3369879,3370446,neg,,Polarity suppression protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005224846.1,71
CDS_CP065453.1_377313_377475_neg,CP065453.1,I5M60_01935,QPP59983.1,,377313,377475,neg,,hypothetical protein,,,,COORDINATES: ab initio prediction:GeneMarkS-2+,109
CDS_CP065455.1_2012_2573_pos,CP065455.1,I5M60_27585,QPP62534.1,,2012,2573,pos,,recombinase family protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005220837.1,70
CDS_CP065453.1_4459880_4460000_pos,CP065453.1,I5M60_21885,QPP58773.1,,4459880,4460000,pos,,GpE family phage tail protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226046.1,116
CDS_CP065453.1_3370705_3371443_neg,CP065453.1,I5M60_16595,QPP57811.1,,3370705,3371443,neg,,glycoprotein 3,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005224848.1,59
CDS_CP065453.1_1496200_1496416_neg,CP065453.1,I5M60_07370,QPP62158.1,,1496200,1496416,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226026.1,104
CDS_CP065455.1_55627_56539_neg,CP065455.1,I5M60_27945,QPP62593.1,,55627,56539,neg,,LysR family transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:WP_012586849.1,44
CDS_CP065453.1_1495710_1496220_neg,CP065453.1,I5M60_07365,QPP60961.1,,1495710,1496220,neg,,lysozyme,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226027.1,80
CDS_CP065453.1_5149781_5151428_pos,CP065453.1,I5M60_25365,QPP59409.1,,5149781,5151428,pos,,fumarate hydratase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226720.1,119
CDS_CP065454.1_125391_128358_pos,CP065454.1,I5M60_27245,QPP62466.1,,125391,128358,pos,,Tn3-like element TnAs1 family transposase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_001138014.1,4
CDS_CP065455.1_52410_53616_neg,CP065455.1,I5M60_27930,QPP62610.1,,52410,53616,neg,,IS4 family transposase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_014610916.1,26
CDS_CP065453.1_4609406_4609973_neg,CP065453.1,I5M60_22525,QPP58896.1,,4609406,4609973,neg,,siphovirus Gp157 family protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004199473.1,69
CDS_CP065453.1_757409_757925_neg,CP065453.1,I5M60_03875,QPP60322.1,,757409,757925,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020246307.1,75
CDS_CP065453.1_1794566_1796726_neg,CP065453.1,I5M60_08860,QPP61245.1,aas,1794566,1796726,neg,,bifunctional acyl-ACP--phospholipid O-acyltransferase/long-chain-fatty-acid--ACP ligase,,2.3.1.40,,COORDINATES: similar to AA sequence:RefSeq:YP_005228609.1,8
CDS_CP065455.1_73281_74205_pos,CP065455.1,I5M60_28025,QPP62604.1,,73281,74205,pos,,IS1380-like element ISEc9 family transposase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_031587700.1,42
