,rec_id,locus_tag,protein_id,gene,start,end,strand,pseudo,product,db_xref,EC_number,old_locus_tag,inference
CDS_CP065825.1_41088_41412_neg,CP065825.1,I8N74_00210,QPV92184.1,,41088,41412,neg,,DNA-binding transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:NP_462677.1
CDS_CP065825.1_41395_41755_neg,CP065825.1,I8N74_00215,QPV92185.1,,41395,41755,neg,,type II toxin-antitoxin system RelE/ParE family toxin,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229537.1
CDS_CP065825.1_41966_43160_pos,CP065825.1,I8N74_00220,QPV92186.1,nepI,41966,43160,pos,,purine ribonucleoside efflux pump NepI,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229536.1
CDS_CP065825.1_43156_43966_neg,CP065825.1,I8N74_00225,QPV92187.1,,43156,43966,neg,,phosphonoacetaldehyde hydrolase,,3.11.1.1,,COORDINATES: similar to AA sequence:RefSeq:YP_005229535.1
CDS_CP065825.1_43975_45079_neg,CP065825.1,I8N74_00230,QPV92188.1,phnW,43975,45079,neg,,2-aminoethylphosphonate--pyruvate transaminase,,2.6.1.37,,COORDINATES: similar to AA sequence:RefSeq:YP_005229534.1
CDS_CP065825.1_45220_45940_pos,CP065825.1,I8N74_00235,QPV92189.1,phnR,45220,45940,pos,,phosphonate utilization transcriptional regulator PhnR,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229533.1
CDS_CP065825.1_46118_47132_pos,CP065825.1,I8N74_00240,QPV92190.1,phnS,46118,47132,pos,,2-aminoethylphosphonate ABC transporter substrate-binding protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229532.1
CDS_CP065825.1_47137_48250_pos,CP065825.1,I8N74_00245,QPV92191.1,phnT,47137,48250,pos,,2-aminoethylphosphonate ABC transport system ATP-binding subunit PhnT,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229531.1
CDS_CP065825.1_48249_49110_pos,CP065825.1,I8N74_00250,QPV94475.1,phnU,48249,49110,pos,,2-aminoethylphosphonate ABC transporter permease subunit,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229530.1
CDS_CP065825.1_49112_49910_pos,CP065825.1,I8N74_00255,QPV92192.1,phnV,49112,49910,pos,,"2-aminoethylphosphonate ABC transport system, membrane component PhnV",,,,COORDINATES: similar to AA sequence:RefSeq:NP_459421.1
CDS_CP065825.1_50108_51488_neg,CP065825.1,I8N74_00260,QPV92193.1,,50108,51488,neg,,carbohydrate porin,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229527.1
CDS_CP065825.1_51632_51935_neg,CP065825.1,I8N74_00265,QPV92194.1,,51632,51935,neg,,PTS lactose/cellobiose transporter subunit IIA,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229526.1
CDS_CP065825.1_52032_53355_neg,CP065825.1,I8N74_00270,QPV92195.1,,52032,53355,neg,,PTS cellobiose transporter subunit IIC,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229525.1
CDS_CP065825.1_53366_53681_neg,CP065825.1,I8N74_00275,QPV92196.1,,53366,53681,neg,,PTS sugar transporter subunit IIB,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229524.1
CDS_CP065825.1_53974_54916_pos,CP065825.1,I8N74_00280,QPV92197.1,,53974,54916,pos,,LacI family DNA-binding transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229523.1
CDS_CP065825.1_55127_56498_pos,CP065825.1,I8N74_00285,QPV92198.1,,55127,56498,pos,,aromatic acid/H+ symport family MFS transporter,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229522.1
CDS_CP065825.1_56511_57774_pos,CP065825.1,I8N74_00290,QPV92199.1,,56511,57774,pos,,gallate dioxygenase,,1.13.11.57,,COORDINATES: similar to AA sequence:RefSeq:YP_005229521.1
CDS_CP065825.1_57770_58997_neg,CP065825.1,I8N74_00295,QPV92200.1,,57770,58997,neg,,LysR family transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229520.1
CDS_CP065825.1_59124_59865_pos,CP065825.1,I8N74_00300,QPV92201.1,galB,59124,59865,pos,,4-oxalmesaconate hydratase,,4.2.1.83,,COORDINATES: similar to AA sequence:RefSeq:YP_005229519.1
CDS_CP065825.1_59861_60575_pos,CP065825.1,I8N74_00305,QPV92202.1,,59861,60575,pos,,4-carboxy-4-hydroxy-2-oxoadipate aldolase/oxaloacetate decarboxylase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229518.1
CDS_CP065825.1_60575_61661_pos,CP065825.1,I8N74_00310,QPV92203.1,,60575,61661,pos,,4-oxalomesaconate tautomerase,,5.3.2.8,,COORDINATES: similar to AA sequence:RefSeq:WP_016162004.1
CDS_CP065825.1_61663_62527_pos,CP065825.1,I8N74_00315,QPV94476.1,,61663,62527,pos,,NAD(P)-dependent oxidoreductase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229516.1
CDS_CP065825.1_62530_62806_neg,CP065825.1,I8N74_00320,QPV94477.1,,62530,62806,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229515.1
CDS_CP065825.1_62927_63866_neg,CP065825.1,I8N74_00325,QPV92204.1,,62927,63866,neg,,DMT family transporter,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229514.1
CDS_CP065825.1_63981_65415_neg,CP065825.1,I8N74_00330,QPV92205.1,murP,63981,65415,neg,,PTS N-acetylmuramic acid transporter subunit IIBC,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229513.1
CDS_CP065825.1_65439_66342_neg,CP065825.1,I8N74_00335,QPV92206.1,murQ,65439,66342,neg,,N-acetylmuramic acid 6-phosphate etherase,,4.2.1.126,,COORDINATES: similar to AA sequence:RefSeq:YP_005229512.1
CDS_CP065825.1_66504_67668_neg,CP065825.1,I8N74_00340,QPV92207.1,,66504,67668,neg,,multidrug effflux MFS transporter,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229511.1
CDS_CP065825.1_67713_69078_neg,CP065825.1,I8N74_00345,QPV92208.1,eefC,67713,69078,neg,,multidrug efflux RND transporter outer membrane subunit EefC,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229510.1
CDS_CP065825.1_69081_72189_neg,CP065825.1,I8N74_00350,QPV92209.1,eefB,69081,72189,neg,,multidrug efflux RND transporter permease subunit EefB,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229509.1
CDS_CP065825.1_72188_73313_neg,CP065825.1,I8N74_00355,QPV92210.1,eefA,72188,73313,neg,,multidrug efflux RND transporter periplasmic adaptor subunit EefA,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020077652.1
CDS_CP065825.1_73519_73642_pos,CP065825.1,I8N74_00360,QPV92211.1,,73519,73642,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229507.1
CDS_CP065825.1_73601_73718_neg,CP065825.1,I8N74_00365,QPV92212.1,,73601,73718,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229506.1
CDS_CP065825.1_73692_74109_pos,CP065825.1,I8N74_00370,QPV92213.1,,73692,74109,pos,,GNAT family N-acetyltransferase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229505.1
CDS_CP065825.1_74487_75135_neg,CP065825.1,I8N74_00375,QPV92214.1,,74487,75135,neg,,TetR/AcrR family transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229503.1
CDS_CP065825.1_75215_76709_pos,CP065825.1,I8N74_00380,QPV92215.1,,75215,76709,pos,,MFS transporter,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229502.1
CDS_CP065825.1_76705_77677_neg,CP065825.1,I8N74_00385,QPV92216.1,,76705,77677,neg,,LysR family transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229501.1
CDS_CP065825.1_77715_78342_pos,CP065825.1,I8N74_00390,QPV92217.1,,77715,78342,pos,,pyridoxamine 5'-phosphate oxidase family protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229500.1
CDS_CP065825.1_78344_78815_pos,CP065825.1,I8N74_00395,QPV92218.1,,78344,78815,pos,,nuclear transport factor 2 family protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229499.1
CDS_CP065825.1_78835_79372_neg,CP065825.1,I8N74_00400,QPV92219.1,,78835,79372,neg,,peroxidase-related enzyme,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229498.1
CDS_CP065825.1_79488_80394_pos,CP065825.1,I8N74_00405,QPV92220.1,,79488,80394,pos,,cupin domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229497.1
CDS_CP065825.1_80521_81331_pos,CP065825.1,I8N74_00410,QPV92221.1,nlpA,80521,81331,pos,,lipoprotein NlpA,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229496.1
CDS_CP065825.1_81355_82210_pos,CP065825.1,I8N74_00415,QPV92222.1,,81355,82210,pos,,EamA family transporter,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229495.1
CDS_CP065825.1_82199_82760_neg,CP065825.1,I8N74_00420,QPV92223.1,,82199,82760,neg,,NUDIX hydrolase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229494.1
CDS_CP065825.1_82925_83705_pos,CP065825.1,I8N74_00425,QPV92224.1,,82925,83705,pos,,MBL fold metallo-hydrolase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229493.1
CDS_CP065825.1_83726_84680_pos,CP065825.1,I8N74_00430,QPV92225.1,,83726,84680,pos,,helix-turn-helix domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229492.1
CDS_CP065825.1_84676_85726_neg,CP065825.1,I8N74_00435,QPV92226.1,,84676,85726,neg,,NAD(P)-dependent alcohol dehydrogenase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229491.1
CDS_CP065825.1_86098_86797_pos,CP065825.1,I8N74_00440,QPV92227.1,,86098,86797,pos,,helix-turn-helix domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229490.1
CDS_CP065825.1_86847_87138_neg,CP065825.1,I8N74_00445,QPV92228.1,,86847,87138,neg,,antibiotic biosynthesis monooxygenase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229489.1
CDS_CP065825.1_87139_88147_neg,CP065825.1,I8N74_00450,QPV92229.1,,87139,88147,neg,,zinc-binding alcohol dehydrogenase family protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229488.1
CDS_CP065825.1_88259_88727_neg,CP065825.1,I8N74_00455,QPV92230.1,,88259,88727,neg,,DUF3237 domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229487.1
CDS_CP065825.1_88850_89060_pos,CP065825.1,I8N74_00460,QPV94478.1,,88850,89060,pos,,ogr/Delta-like zinc finger family protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_012850219.1
CDS_CP065825.1_89088_89638_pos,CP065825.1,I8N74_00465,,,89088,89638,pos,True,Polarity suppression protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_017694460.1
CDS_CP065825.1_89964_91374_pos,CP065825.1,I8N74_00470,QPV92231.1,,89964,91374,pos,,maturase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000344414.1
CDS_CP065825.1_91472_92210_pos,CP065825.1,I8N74_00475,QPV92232.1,,91472,92210,pos,,SLATT domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000261310.1
CDS_CP065825.1_92262_93236_neg,CP065825.1,I8N74_00480,,,92262,93236,neg,True,tyrosine-type recombinase/integrase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_001414312.1
CDS_CP065825.1_93785_95180_pos,CP065825.1,I8N74_00490,QPV92233.1,,93785,95180,pos,,glycoside-pentoside-hexuronide family transporter,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229486.1
CDS_CP065825.1_95192_97511_pos,CP065825.1,I8N74_00495,QPV92234.1,yicI,95192,97511,pos,,alpha-xylosidase,,3.2.1.177,,COORDINATES: similar to AA sequence:RefSeq:YP_005229485.1
CDS_CP065825.1_97666_98389_pos,CP065825.1,I8N74_00500,QPV92235.1,,97666,98389,pos,,MurR/RpiR family transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229484.1
CDS_CP065825.1_98435_99815_neg,CP065825.1,I8N74_00505,QPV92236.1,,98435,99815,neg,,glycoside hydrolase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229483.1
CDS_CP065825.1_99827_101386_neg,CP065825.1,I8N74_00510,,,99827,101386,neg,True,PTS transporter subunit EIIC,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229482.1
CDS_CP065825.1_101631_103347_neg,CP065825.1,I8N74_00515,QPV92237.1,,101631,103347,neg,,AsmA family protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229481.1
CDS_CP065825.1_103487_104879_neg,CP065825.1,I8N74_00520,QPV92238.1,,103487,104879,neg,,uracil-xanthine permease,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229480.1
CDS_CP065825.1_105163_106366_pos,CP065825.1,I8N74_00525,QPV92239.1,gltS,105163,106366,pos,,sodium/glutamate symporter,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229478.1
CDS_CP065825.1_106480_107992_neg,CP065825.1,I8N74_00530,QPV92240.1,glpK,106480,107992,neg,,glycerol kinase GlpK,,2.7.1.30,,COORDINATES: similar to AA sequence:RefSeq:YP_005229477.1
CDS_CP065825.1_108013_108865_neg,CP065825.1,I8N74_00535,QPV92241.1,,108013,108865,neg,,aquaporin,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229476.1
CDS_CP065825.1_109307_109553_pos,CP065825.1,I8N74_00540,QPV92242.1,zapB,109307,109553,pos,,septal ring assembly protein ZapB,,,,COORDINATES: similar to AA sequence:RefSeq:NP_418363.1
CDS_CP065825.1_109704_110694_pos,CP065825.1,I8N74_00545,QPV92243.1,,109704,110694,pos,,sulfate ABC transporter substrate-binding protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_005133064.1
CDS_CP065825.1_110856_111627_pos,CP065825.1,I8N74_00550,QPV92244.1,,110856,111627,pos,,CDP-diacylglycerol diphosphatase,,3.6.1.26,,COORDINATES: similar to AA sequence:RefSeq:YP_005229473.1
CDS_CP065825.1_111691_112996_pos,CP065825.1,I8N74_00555,QPV92245.1,,111691,112996,pos,,anion permease,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229472.1
CDS_CP065825.1_113088_113856_neg,CP065825.1,I8N74_00560,QPV92246.1,tpiA,113088,113856,neg,,triose-phosphate isomerase,,5.3.1.1,,COORDINATES: similar to AA sequence:RefSeq:YP_005229471.1
CDS_CP065825.1_113965_114568_neg,CP065825.1,I8N74_00565,QPV92247.1,,113965,114568,neg,,YiiQ family protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229470.1
CDS_CP065825.1_114680_115109_pos,CP065825.1,I8N74_00570,QPV92248.1,,114680,115109,pos,,DUF805 domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229469.1
CDS_CP065825.1_115109_115856_neg,CP065825.1,I8N74_00575,QPV92249.1,fpr,115109,115856,neg,,ferredoxin--NADP(+) reductase,,1.18.1.2,,COORDINATES: similar to AA sequence:RefSeq:YP_005229468.1
CDS_CP065825.1_116006_117017_neg,CP065825.1,I8N74_00580,QPV92250.1,glpX,116006,117017,neg,,class II fructose-bisphosphatase,,3.1.3.11,,COORDINATES: similar to AA sequence:RefSeq:YP_005229467.1
CDS_CP065825.1_117065_119147_neg,CP065825.1,I8N74_00585,QPV92251.1,recG,117065,119147,neg,,ATP-dependent DNA helicase RecG,,3.6.4.12,,COORDINATES: similar to AA sequence:RefSeq:YP_005229466.1
CDS_CP065825.1_119152_119842_neg,CP065825.1,I8N74_00590,QPV92252.1,trmH,119152,119842,neg,,tRNA (guanosine(18)-2'-O)-methyltransferase TrmH,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229465.1
CDS_CP065825.1_119846_121967_neg,CP065825.1,I8N74_00595,QPV92253.1,spoT,119846,121967,neg,,"bifunctional GTP diphosphokinase/guanosine-3',5'-bis pyrophosphate 3'-pyrophosphohydrolase",,3.1.7.2,,COORDINATES: similar to AA sequence:RefSeq:YP_005229464.1
CDS_CP065825.1_121985_122261_neg,CP065825.1,I8N74_00600,QPV92254.1,rpoZ,121985,122261,neg,,DNA-directed RNA polymerase subunit omega,,2.7.7.6,,COORDINATES: similar to AA sequence:RefSeq:WP_013511051.1
CDS_CP065825.1_122315_122939_neg,CP065825.1,I8N74_00605,QPV92255.1,gmk,122315,122939,neg,,guanylate kinase,,2.7.4.8,,COORDINATES: similar to AA sequence:RefSeq:WP_000046969.1
CDS_CP065825.1_123197_124874_pos,CP065825.1,I8N74_00610,QPV92256.1,ligB,123197,124874,pos,,NAD-dependent DNA ligase LigB,,6.5.1.2,,COORDINATES: similar to AA sequence:RefSeq:YP_005229461.1
CDS_CP065825.1_124879_125497_neg,CP065825.1,I8N74_00615,QPV92257.1,,124879,125497,neg,,trimeric intracellular cation channel family protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229460.1
CDS_CP065825.1_125772_127023_pos,CP065825.1,I8N74_00620,QPV92258.1,,125772,127023,pos,,chloride channel protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229459.1
CDS_CP065825.1_127078_128137_neg,CP065825.1,I8N74_00625,QPV92259.1,,127078,128137,neg,,methylated-DNA--[protein]-cysteine S-methyltransferase,,2.1.1.63,,COORDINATES: similar to AA sequence:RefSeq:YP_005229458.1
CDS_CP065825.1_128139_128886_neg,CP065825.1,I8N74_00630,QPV92260.1,,128139,128886,neg,,isocitrate lyase/phosphoenolpyruvate mutase family protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229457.1
CDS_CP065825.1_129068_129932_neg,CP065825.1,I8N74_00635,QPV92261.1,,129068,129932,neg,,YicC family protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_005122606.1
CDS_CP065825.1_130430_132131_pos,CP065825.1,I8N74_00640,QPV92262.1,,130430,132131,pos,,lysophospholipid acyltransferase family protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229453.1
CDS_CP065825.1_132168_132300_neg,CP065825.1,I8N74_00645,QPV92263.1,,132168,132300,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229452.1
CDS_CP065825.1_132298_133186_pos,CP065825.1,I8N74_00650,QPV92264.1,,132298,133186,pos,,HlyD family efflux transporter periplasmic adaptor subunit,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229451.1
CDS_CP065825.1_133178_134096_pos,CP065825.1,I8N74_00655,QPV92265.1,,133178,134096,pos,,ABC transporter ATP-binding protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_012540304.1
