,locus_tag,protein_id,gene,start,end,strand,pseudo,product,db_xref,EC_number,old_locus_tag,inference
CDS_CP056460.1_40873_41326_pos,HV217_00200,QLU69876.1,,40873,41326,pos,,DUF1198 domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229539.1
CDS_CP056460.1_41426_42617_pos,HV217_00205,QLU69877.1,nepI,41426,42617,pos,,purine ribonucleoside efflux pump NepI,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000134752.1
CDS_CP056460.1_42726_43632_neg,HV217_00210,QLU69878.1,,42726,43632,neg,,EamA family transporter,,,,COORDINATES: similar to AA sequence:RefSeq:WP_014068294.1
CDS_CP056460.1_43779_45159_neg,HV217_00215,QLU69879.1,,43779,45159,neg,,carbohydrate porin,,,,COORDINATES: similar to AA sequence:RefSeq:WP_007897766.1
CDS_CP056460.1_45297_45600_neg,HV217_00220,QLU74312.1,,45297,45600,neg,,PTS lactose/cellobiose transporter subunit IIA,,,,COORDINATES: similar to AA sequence:RefSeq:WP_007701793.1
CDS_CP056460.1_45605_46982_neg,HV217_00225,QLU69880.1,,45605,46982,neg,,glycoside hydrolase family 1 protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_017694005.1
CDS_CP056460.1_46999_48325_neg,HV217_00230,QLU69881.1,,46999,48325,neg,,PTS sugar transporter subunit IIC,,,,COORDINATES: similar to AA sequence:RefSeq:WP_014068298.1
CDS_CP056460.1_48336_48651_neg,HV217_00235,QLU69882.1,,48336,48651,neg,,PTS sugar transporter subunit IIB,,,,COORDINATES: similar to AA sequence:RefSeq:WP_003861034.1
CDS_CP056460.1_48944_49895_pos,HV217_00240,QLU69883.1,,48944,49895,pos,,LacI family DNA-binding transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:WP_003861033.1
CDS_CP056460.1_49945_50242_neg,HV217_00245,QLU69884.1,,49945,50242,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_015570101.1
CDS_CP056460.1_50362_51727_neg,HV217_00250,QLU69885.1,,50362,51727,neg,,TolC family protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020882718.1
CDS_CP056460.1_51726_54836_neg,HV217_00255,,,51726,54836,neg,True,efflux RND transporter permease subunit,,,,COORDINATES: similar to AA sequence:RefSeq:WP_014830074.1
CDS_CP056460.1_54835_55957_neg,HV217_00260,QLU69886.1,,54835,55957,neg,,efflux RND transporter periplasmic adaptor subunit,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020882716.1
CDS_CP056460.1_56104_56674_neg,HV217_00265,QLU69887.1,,56104,56674,neg,,TetR/AcrR family transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000104919.1
CDS_CP056460.1_56859_57279_pos,HV217_00270,QLU69888.1,,56859,57279,pos,,GNAT family N-acetyltransferase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_003861020.1
CDS_CP056460.1_57275_57923_neg,HV217_00275,QLU74313.1,,57275,57923,neg,,TetR/AcrR family transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:WP_006812486.1
CDS_CP056460.1_58001_59501_pos,HV217_00280,QLU69889.1,,58001,59501,pos,,MFS transporter,,,,COORDINATES: similar to AA sequence:RefSeq:WP_015570095.1
CDS_CP056460.1_59730_60532_pos,HV217_00285,,nlpA,59730,60532,pos,True,lipoprotein NlpA,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229496.1
CDS_CP056460.1_60550_61231_neg,HV217_00290,QLU69890.1,,60550,61231,neg,,EAL domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_017693995.1
CDS_CP056460.1_61307_61928_neg,HV217_00295,QLU69891.1,,61307,61928,neg,,response regulator transcription factor,,,,COORDINATES: similar to AA sequence:RefSeq:WP_006812480.1
CDS_CP056460.1_62497_63133_pos,HV217_00300,QLU74314.1,,62497,63133,pos,,DNA-binding response regulator,,,,COORDINATES: similar to AA sequence:RefSeq:WP_017383660.1
CDS_CP056460.1_63139_64204_neg,HV217_00305,QLU69892.1,,63139,64204,neg,,fimbrial protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_017693993.1
CDS_CP056460.1_64219_66712_neg,HV217_00310,QLU69893.1,,64219,66712,neg,,fimbrial biogenesis outer membrane usher protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000782716.1
CDS_CP056460.1_66727_67420_neg,HV217_00315,QLU69894.1,,66727,67420,neg,,molecular chaperone,,,,COORDINATES: similar to AA sequence:RefSeq:WP_001223973.1
CDS_CP056460.1_67472_68057_neg,HV217_00320,QLU69895.1,,67472,68057,neg,,type 1 fimbrial protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_013094838.1
CDS_CP056460.1_68431_69244_pos,HV217_00325,QLU69896.1,,68431,69244,pos,,winged helix-turn-helix transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000876162.1
CDS_CP056460.1_69262_69733_pos,HV217_00330,QLU74315.1,,69262,69733,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_003860998.1
CDS_CP056460.1_69960_70584_pos,HV217_00335,QLU69897.1,,69960,70584,pos,,fimbrial protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_006812472.1
CDS_CP056460.1_70629_71307_pos,HV217_00340,QLU69898.1,,70629,71307,pos,,fimbria/pilus periplasmic chaperone,,,,COORDINATES: similar to AA sequence:RefSeq:WP_006812471.1
CDS_CP056460.1_71313_73908_pos,HV217_00345,QLU69899.1,,71313,73908,pos,,CS1-pili formation C-terminal domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_013094843.1
CDS_CP056460.1_73885_75484_pos,HV217_00350,QLU69900.1,,73885,75484,pos,,receptor,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000717908.1
CDS_CP056460.1_75490_76144_pos,HV217_00355,QLU69901.1,,75490,76144,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_006812468.1
CDS_CP056460.1_76217_76412_pos,HV217_00360,QLU69902.1,,76217,76412,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_006177667.1
CDS_CP056460.1_76435_76621_pos,HV217_00365,QLU69903.1,,76435,76621,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_013094847.1
CDS_CP056460.1_76688_78785_pos,HV217_00370,QLU69904.1,,76688,78785,pos,,peptidase domain-containing ABC transporter,,,,COORDINATES: similar to AA sequence:RefSeq:WP_003860971.1
CDS_CP056460.1_78781_79531_pos,HV217_00375,QLU69905.1,,78781,79531,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_017694789.1
CDS_CP056460.1_79537_80788_pos,HV217_00380,QLU69906.1,,79537,80788,pos,,HlyD family efflux transporter periplasmic adaptor subunit,,,,COORDINATES: similar to AA sequence:RefSeq:WP_006177670.1
CDS_CP056460.1_80877_81657_pos,HV217_00385,QLU69907.1,,80877,81657,pos,,MBL fold metallo-hydrolase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_006812464.1
CDS_CP056460.1_81682_82669_pos,HV217_00390,QLU69908.1,,81682,82669,pos,,helix-turn-helix domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_014830097.1
CDS_CP056460.1_82792_83122_pos,HV217_00395,QLU69909.1,,82792,83122,pos,,hypothetical protein,,,,COORDINATES: ab initio prediction:GeneMarkS-2+
CDS_CP056460.1_83099_83903_neg,HV217_00400,QLU69910.1,,83099,83903,neg,,DUF4225 domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_013087100.1
CDS_CP056460.1_84078_85167_neg,HV217_00405,QLU69911.1,,84078,85167,neg,,AAA family ATPase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020882706.1
CDS_CP056460.1_85312_86272_neg,HV217_00410,QLU69912.1,,85312,86272,neg,,DUF523 and DUF1722 domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000208729.1
CDS_CP056460.1_86374_86785_neg,HV217_00415,QLU69913.1,uraH,86374,86785,neg,,hydroxyisourate hydrolase,,3.5.2.17,,COORDINATES: similar to AA sequence:RefSeq:WP_000750474.1
CDS_CP056460.1_86884_87610_neg,HV217_00420,QLU69914.1,,86884,87610,neg,,MerR family transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005224878.1
CDS_CP056460.1_87727_88252_pos,HV217_00425,QLU69915.1,,87727,88252,pos,,lipocalin family protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_003860954.1
CDS_CP056460.1_88253_89261_neg,HV217_00430,QLU69916.1,,88253,89261,neg,,fimbrial protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_017383645.1
CDS_CP056460.1_89260_89779_neg,HV217_00435,QLU69917.1,,89260,89779,neg,,type 1 fimbrial protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_003860952.1
CDS_CP056460.1_89769_92295_neg,HV217_00440,QLU69918.1,,89769,92295,neg,,fimbrial biogenesis outer membrane usher protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_015570070.1
CDS_CP056460.1_92318_92996_neg,HV217_00445,QLU69919.1,,92318,92996,neg,,fimbria/pilus periplasmic chaperone,,,,COORDINATES: similar to AA sequence:RefSeq:WP_017693983.1
CDS_CP056460.1_93049_93634_neg,HV217_00450,QLU69920.1,,93049,93634,neg,,type 1 fimbrial protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_003860947.1
CDS_CP056460.1_93686_94289_neg,HV217_00455,QLU69921.1,,93686,94289,neg,,helix-turn-helix transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:WP_015570068.1
CDS_CP056460.1_95123_95912_pos,HV217_00460,QLU69922.1,,95123,95912,pos,,winged helix-turn-helix domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_017383642.1
CDS_CP056460.1_95913_96393_pos,HV217_00465,QLU69923.1,,95913,96393,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_017693981.1
CDS_CP056460.1_96635_97517_pos,HV217_00470,QLU74316.1,,96635,97517,pos,,helix-turn-helix domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_017383640.1
CDS_CP056460.1_97581_97881_neg,HV217_00475,QLU69924.1,,97581,97881,neg,,XRE family transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:WP_002218230.1
CDS_CP056460.1_98004_98346_neg,HV217_00480,QLU69925.1,,98004,98346,neg,,"type I addiction module toxin, SymE family",,,,COORDINATES: similar to AA sequence:RefSeq:WP_015570064.1
CDS_CP056460.1_98473_98635_pos,HV217_00485,QLU69926.1,,98473,98635,pos,,DUF3950 domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_003860931.1
CDS_CP056460.1_98747_98954_neg,HV217_00490,QLU69927.1,,98747,98954,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004196825.1
CDS_CP056460.1_99483_100875_pos,HV217_00500,QLU69928.1,,99483,100875,pos,,glycoside-pentoside-hexuronide family transporter,,,,COORDINATES: similar to AA sequence:RefSeq:WP_017693975.1
CDS_CP056460.1_100887_103206_pos,HV217_00505,QLU69929.1,yicI,100887,103206,pos,,alpha-xylosidase,,3.2.1.177,,COORDINATES: similar to AA sequence:RefSeq:NP_462649.1
CDS_CP056460.1_103335_105030_neg,HV217_00510,QLU69930.1,,103335,105030,neg,,AsmA family protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_006812440.1
CDS_CP056460.1_105148_106540_neg,HV217_00515,QLU69931.1,xanP,105148,106540,neg,,xanthine/proton symporter XanP,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004855527.1
CDS_CP056460.1_106765_107968_pos,HV217_00520,QLU69932.1,gltS,106765,107968,pos,,sodium/glutamate symporter,,,,COORDINATES: similar to AA sequence:RefSeq:WP_003860924.1
CDS_CP056460.1_107971_110053_neg,HV217_00525,QLU69933.1,recG,107971,110053,neg,,ATP-dependent DNA helicase RecG,,3.6.4.12,,COORDINATES: similar to AA sequence:RefSeq:NP_462644.1
CDS_CP056460.1_110056_110746_neg,HV217_00530,QLU69934.1,trmH,110056,110746,neg,,tRNA (guanosine(18)-2'-O)-methyltransferase TrmH,,,,COORDINATES: similar to AA sequence:RefSeq:NP_418108.1
CDS_CP056460.1_110750_112865_neg,HV217_00535,QLU69935.1,spoT,110750,112865,neg,,"bifunctional GTP diphosphokinase/guanosine-3',5'-bis pyrophosphate 3'-pyrophosphohydrolase",,3.1.7.2,,COORDINATES: similar to AA sequence:RefSeq:YP_005229464.1
CDS_CP056460.1_112884_113160_neg,HV217_00540,QLU69936.1,rpoZ,112884,113160,neg,,DNA-directed RNA polymerase subunit omega,,2.7.7.6,,COORDINATES: similar to AA sequence:RefSeq:WP_013511051.1
CDS_CP056460.1_113214_113838_neg,HV217_00545,QLU69937.1,gmk,113214,113838,neg,,guanylate kinase,,2.7.4.8,,COORDINATES: similar to AA sequence:RefSeq:WP_000046969.1
CDS_CP056460.1_114089_115760_pos,HV217_00550,QLU69938.1,ligB,114089,115760,pos,,NAD-dependent DNA ligase LigB,,6.5.1.2,,COORDINATES: similar to AA sequence:RefSeq:WP_010426437.1
CDS_CP056460.1_115762_116380_neg,HV217_00555,QLU69939.1,,115762,116380,neg,,trimeric intracellular cation channel family protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229460.1
CDS_CP056460.1_116585_117449_neg,HV217_00560,QLU69940.1,,116585,117449,neg,,YicC family protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_005122606.1
CDS_CP056460.1_117574_118291_pos,HV217_00565,QLU69941.1,rph,117574,118291,pos,,ribonuclease PH,,2.7.7.56,,COORDINATES: similar to AA sequence:RefSeq:WP_006803115.1
CDS_CP056460.1_118357_118999_pos,HV217_00570,QLU69942.1,pyrE,118357,118999,pos,,orotate phosphoribosyltransferase,,2.4.2.10,,COORDINATES: similar to AA sequence:RefSeq:NP_709421.2
CDS_CP056460.1_119081_119678_neg,HV217_00575,QLU69943.1,slmA,119081,119678,neg,,nucleoid occlusion factor SlmA,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000818604.1
CDS_CP056460.1_119799_120258_neg,HV217_00580,QLU69944.1,dut,119799,120258,neg,,dUTP diphosphatase,,3.6.1.23,,COORDINATES: similar to AA sequence:RefSeq:WP_000976070.1
CDS_CP056460.1_120235_121447_neg,HV217_00585,QLU74317.1,coaBC,120235,121447,neg,,bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC,,4.1.1.36,,COORDINATES: similar to AA sequence:RefSeq:NP_418096.4
CDS_CP056460.1_121620_122286_pos,HV217_00590,QLU69945.1,radC,121620,122286,pos,,DNA repair protein RadC,,,,COORDINATES: similar to AA sequence:RefSeq:NP_462629.1
CDS_CP056460.1_122503_122740_pos,HV217_00595,QLU69946.1,rpmB,122503,122740,pos,,50S ribosomal protein L28,,,,COORDINATES: similar to AA sequence:RefSeq:WP_008457442.1
CDS_CP056460.1_122762_122930_pos,HV217_00600,QLU69947.1,rpmG,122762,122930,pos,,50S ribosomal protein L33,,,,COORDINATES: similar to AA sequence:RefSeq:WP_010847629.1
CDS_CP056460.1_123002_123812_pos,HV217_00605,QLU69948.1,mutM,123002,123812,pos,,bifunctional DNA-formamidopyrimidine glycosylase/DNA-(apurinic or apyrimidinic site) lyase,,3.2.2.23,,COORDINATES: similar to AA sequence:RefSeq:NP_312537.1
CDS_CP056460.1_123814_124294_neg,HV217_00610,QLU69949.1,coaD,123814,124294,neg,,pantetheine-phosphate adenylyltransferase,,2.7.7.3,,COORDINATES: similar to AA sequence:RefSeq:YP_005229437.1
CDS_CP056460.1_124297_125068_neg,HV217_00615,QLU69950.1,,124297,125068,neg,,glycosyltransferase family 2 protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_008502696.1
CDS_CP056460.1_125067_126342_neg,HV217_00620,QLU69951.1,waaA,125067,126342,neg,,lipid IV(A) 3-deoxy-D-manno-octulosonic acid transferase,,2.4.99.12,,COORDINATES: similar to AA sequence:RefSeq:YP_005229435.1
CDS_CP056460.1_126408_127398_neg,HV217_00625,QLU69952.1,,126408,127398,neg,,glycosyltransferase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020882686.1
CDS_CP056460.1_127409_128510_neg,HV217_00630,QLU69953.1,,127409,128510,neg,,glycosyltransferase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_017693963.1
CDS_CP056460.1_128512_129640_neg,HV217_00635,QLU69954.1,,128512,129640,neg,,glycosyltransferase family 4 protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020882684.1
CDS_CP056460.1_129636_130707_neg,HV217_00640,QLU69955.1,rfaQ,129636,130707,neg,,putative lipopolysaccharide heptosyltransferase III,,,,COORDINATES: similar to AA sequence:RefSeq:WP_017383615.1
CDS_CP056460.1_130857_131811_pos,HV217_00645,QLU69956.1,,130857,131811,pos,,deacetylase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_017693960.1
CDS_CP056460.1_131837_133049_neg,HV217_00650,QLU69957.1,,131837,133049,neg,,O-antigen ligase family protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_015570034.1
CDS_CP056460.1_133036_133936_neg,HV217_00655,QLU69958.1,,133036,133936,neg,,glycosyltransferase family 2 protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_017383613.1
CDS_CP056460.1_133941_135051_neg,HV217_00660,QLU69959.1,,133941,135051,neg,,glycosyltransferase family 9 protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_007369504.1
CDS_CP056460.1_135054_136038_neg,HV217_00665,QLU69960.1,rfaC,135054,136038,neg,,lipopolysaccharide heptosyltransferase RfaC,,,,COORDINATES: similar to AA sequence:RefSeq:WP_006812408.1
CDS_CP056460.1_136041_137088_neg,HV217_00670,QLU69961.1,rfaF,136041,137088,neg,,ADP-heptose--LPS heptosyltransferase RfaF,,2.4.1.-,,COORDINATES: similar to AA sequence:RefSeq:WP_015570031.1
CDS_CP056460.1_137167_138148_neg,HV217_00675,QLU69962.1,rfaD,137167,138148,neg,,ADP-glyceromanno-heptose 6-epimerase,,5.1.3.20,,COORDINATES: similar to AA sequence:RefSeq:WP_012908140.1
CDS_CP056460.1_138363_139560_pos,HV217_00680,QLU69963.1,kbl,138363,139560,pos,,glycine C-acetyltransferase,,2.3.1.29,,COORDINATES: similar to AA sequence:RefSeq:WP_020239151.1
CDS_CP056460.1_139569_140598_pos,HV217_00685,QLU69964.1,tdh,139569,140598,pos,,L-threonine 3-dehydrogenase,,1.1.1.103,,COORDINATES: similar to AA sequence:RefSeq:WP_006177738.1
CDS_CP056460.1_140624_141539_neg,HV217_00690,QLU69965.1,,140624,141539,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020882674.1
CDS_CP056460.1_141554_142760_neg,HV217_00695,QLU69966.1,,141554,142760,neg,,glycosyltransferase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_014882003.1
CDS_CP056460.1_142966_143767_pos,HV217_00700,QLU69967.1,,142966,143767,pos,,glycosyltransferase family 2 protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_008502710.1
CDS_CP056460.1_143778_144711_neg,HV217_00705,QLU69968.1,,143778,144711,neg,,divergent polysaccharide deacetylase family protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_017693955.1
CDS_CP056460.1_144714_145998_neg,HV217_00710,QLU69969.1,envC,144714,145998,neg,,murein hydrolase activator EnvC,,,,COORDINATES: similar to AA sequence:RefSeq:NP_462605.1
CDS_CP056460.1_146007_147552_neg,HV217_00715,QLU69970.1,gpmM,146007,147552,neg,,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase",,5.4.2.12,,COORDINATES: similar to AA sequence:RefSeq:NP_312517.1
CDS_CP056460.1_147800_148232_pos,HV217_00720,QLU69971.1,,147800,148232,pos,,rhodanese-like domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:NP_462603.1
